NEWTON-BOOTH,,,,,,,,,,,,,,,,,,,,
Grid ref,SK042272,Long,-1.939088,Lat,52.842294,Elevation,360,ft.,,,,,,,,,,,,
Station no,2361/3/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.49,1.73,5.47,1.75,1.22,1.95,2.61,0.85,1.33,2.25,3.93,1.63,2.21,2.87,5.16
February,,,,,,5.62,1.75,1.28,0.61,4.38,2.69,0.73,1.77,2.49,2.13,0.7,2,4.66,0.51,2.03
March,,,,,,0.89,4.88,0.95,1.86,0.81,3.96,1.93,1.27,1.85,2.72,1.5,2,1.75,1.63,2.02
April,,,,,,1.33,2.18,2.17,2.38,2.66,2.5,2.59,2.5,0.42,1.46,1.31,0.26,0.62,2.74,1.23
May,,,,,,1.86,,1.48,1.47,1.3,3.41,2.69,2.84,2.63,3.44,0.72,1,2.81,0.79,1.74
June,,,,,,2.3,1.41,3.15,0.48,1.23,1.35,3.2,2.84,4.15,3.6,2.72,2.01,4.38,1.1,2.86
July,,,,,,2.37,4.29,2.36,1.97,2.02,1.15,1.08,2.98,3.11,2.04,2.84,3.78,4.31,2.47,3.28
August,,,,,,4.72,0.92,4.42,2.18,3.75,5.65,1.82,2.52,4.65,1.4,5.11,5.36,2.91,1.35,4.12
September,,,,,,4.16,1.63,2.16,1,4.57,2.2,1.51,2,2.7,2.3,3.04,5.82,3.06,0.15,5.46
October,,,,,,0.54,0.45,2.38,4.14,1.09,0.67,3.98,1.32,4.67,1.8,1.57,2.01,2.46,2.16,5.16
November,,,,,,4.98,2.53,1.42,3.65,3.5,7.23,1.5,1.75,4.92,2.16,1.05,1.93,1.69,4.1,3.76
December,,,,,,2.34,2.43,4.53,2.45,2,2.44,3.2,1.13,3.62,2.42,3.25,1.39,3.41,3.51,3.32
Total,,,,,,33.6,,31.77,23.94,28.53,35.2,26.84,23.77,36.54,27.72,27.74,29.19,34.27,23.38,40.14
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Little Booth. Altitudes match,,,,,,,,,,,,,,,,,,,,
Feb 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,
