NEWTON (BOOTH),,,,,,,,,,,,
Grid ref,SK042272,Long,-1.939088,Lat,52.842294,,,,,,,
Station no,2361/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.95,2.61,0.85,1.33,2.25,3.93,1.63,2.21,2.87,5.16,,
February,2.69,0.73,1.77,2.49,2.13,0.70,2.00,4.66,0.51,2.03,,
March,3.96,1.93,1.27,1.85,2.72,1.50,2.00,1.75,1.63,2.02,,
April,2.50,2.59,2.50,0.42,1.46,1.31,0.26,0.62,2.74,1.23,,
May,3.41,2.69,2.84,2.63,3.44,0.72,1.00,2.81,0.79,1.74,,
June,1.35,3.20,2.84,4.15,3.60,2.72,2.01,4.38,1.10,2.86,,
July,1.15,1.08,2.98,3.11,2.04,2.84,3.78,4.31,2.47,3.28,,
August,5.65,1.82,2.52,4.65,1.40,5.11,5.36,2.91,1.35,4.12,,
September,2.20,1.51,2.00,2.70,2.30,3.04,5.82,3.06,0.15,5.46,,
October,0.67,3.98,1.32,4.67,1.80,1.57,2.01,2.46,2.16,5.16,,
November,7.23,1.50,1.75,4.92,2.16,1.05,1.93,1.69,4.10,3.76,,
December,2.44,3.20,1.13,3.62,2.42,3.25,1.39,3.41,3.51,3.32,,
Total,35.20,26.84,23.77,36.54,27.72,27.74,29.19,34.27,23.38,40.14,,
Calc annual,35.20,26.84,23.77,36.54,27.72,27.74,29.19,34.27,23.38,40.14,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
