"CLEISH HILLS, OUTH",,,,,,,,,,,,
Grid ref,NT059948,Long,-3.515743,Lat,56.136601,,,,,,,
Station no,RR2810,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.02,,1.73,3.97,1.82,0.45,2.77,1.51,,,,
February,2.25,,1.47,4.97,2.81,0.90,1.21,2.07,,,,
March,1.98,,1.06,5.27,2.09,4.00,2.22,1.95,,,,
April,1.27,,1.51,0.85,2.92,2.31,1.18,1.76,,,,
May,2.54,,1.33,3.12,3.19,2.45,7.25,3.19,,,,
June,2.82,,2.77,2.92,1.02,0.17,2.41,4.66,,,,
July,3.81,,2.95,5.69,2.26,2.92,1.69,2.57,,,,
August,4.63,,1.58,3.25,4.29,3.85,6.34,4.82,,,,
September,3.00,,2.55,3.80,1.81,1.62,1.57,1.52,,,,
October,4.34,,1.07,6.77,1.41,2.02,5.78,6.52,,,,
November,5.25,,2.47,2.35,1.16,6.23,4.43,1.16,,,,
December,4.58,,2.79,2.24,2.33,2.57,1.26,5.51,,,,
Total,41.49,,23.28,45.20,27.11,29.49,38.11,37.24,,,,
Calc annual,41.49,0.00,23.28,45.20,27.11,29.49,38.11,37.24,0.00,0.00,,
Difference,0.00,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
