"CLEISH HILLS, OUTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT059948,Long,-3.515743,Lat,56.136601,Elevation,890,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,5.13,5.6,3.46,8.19,2.13,6.66,2.78,1.02,3.03,0.8,4.15,4.21,3.52,3.37,1.86,4.24,2.76,2.58,2.52,2.58,,1.68,5.38,4.5,2.45,3.46,3.29,6.22,5.02,,1.73,3.97,1.82,0.45,2.77,1.51,,
February,,,3.34,0.75,1.12,2.29,3.74,2.39,1.74,1.38,,5.73,3.51,3.48,2.6,2.05,1.64,2.15,1.39,1.42,0.66,0.1,,5.39,6.67,1.5,0.89,2.98,1.8,2.67,2.25,,1.47,4.97,2.81,0.9,1.21,2.07,,
March,,,2.9,2.29,2.73,2.23,4.38,2.41,1.01,2.6,2.83,3.63,5.6,0.36,0.98,2.57,5.74,1.65,1.9,1.92,1.35,1.2,,1.19,1.43,6.4,3.89,11.37,1.54,2.55,1.98,,1.06,5.27,2.09,4,2.22,1.95,,
April,,,2.92,0.46,1.85,1.37,4.91,4.33,3.26,3.1,5.54,0.31,4.96,1.53,2.09,1.96,1.85,0.72,1.24,3.21,1.87,2.03,,1.32,1.39,4.33,2.05,1.84,3.52,3.1,1.27,,1.51,0.85,2.92,2.31,1.18,1.76,,
May,,,3.17,3.58,2.56,1.77,1.35,2.27,3.8,1.47,1.09,3.33,3.42,2.81,2.81,2.84,4.08,1.09,2.61,0.9,0.69,2.11,,1.86,3.21,0.7,0.56,1.96,1.94,4.9,2.54,,1.33,3.12,3.19,2.45,7.25,3.19,,
June,,,4.51,2.2,0.91,3.1,3.21,3.81,3.6,3.2,1.61,3.57,3.3,2.04,1.18,2.96,1.4,1.48,0.69,0.37,3.83,0.72,,2.44,4.52,2.45,4.83,7.94,3.4,2.25,2.82,,2.77,2.92,1.02,0.17,2.41,4.66,,
July,,,3.55,3.77,3.46,2.74,2.41,6.16,0.31,3.23,3.63,7.34,6.64,4.72,2.43,2.39,2.2,3.4,0.95,1.56,3.61,2.89,,2.4,4.96,6.16,4.62,2.58,0.95,3.91,3.81,,2.95,5.69,2.26,2.92,1.69,2.57,,
August,,,7.61,4.07,6.72,2.9,4.55,10.58,3.43,5.84,0.98,5.37,2.08,3.93,1.78,1.95,1.61,4.51,1.64,1.51,2.9,5.91,,3.28,5.68,7.83,2.74,3.87,3.36,1.59,4.63,,1.58,3.25,4.29,3.85,6.34,4.82,,
September,,,7.12,5.36,3.95,4.63,4.6,2.21,3.89,4.71,1.96,1.04,3.25,2.99,4.45,1.76,4.86,4.21,1.01,1.04,3.04,3.58,,1.97,0.29,1.36,6.27,3.13,4.38,3.37,3,,2.55,3.8,1.81,1.62,1.57,1.52,,
October,,,4.69,7.48,4.22,6.7,5.83,5.32,3.66,2.21,0.85,10.06,3.82,3.79,3.38,2.53,6.21,0.68,0.91,3.32,1.58,2.3,,4.13,5.34,4.75,3.62,4.37,5.49,2.74,4.34,,1.07,6.77,1.41,2.02,5.78,6.52,,
November,,,4.59,2.8,4.97,5.37,4.56,3.85,1.73,2.85,3.09,3.07,2.88,3.3,2.82,2.84,2.47,4.65,4.36,3.72,5.94,3.66,,3.54,5.25,5.35,1.67,4.41,4.31,3.39,5.25,,2.47,2.35,1.16,6.23,4.43,1.16,,
December,,,2.78,3.07,1.7,3.56,11.52,2.89,2.69,1.81,3.69,2.61,5.75,3.59,1.93,2.59,0.86,0.74,1.14,2.86,2.16,5.27,,5.49,4.93,3.68,10.06,5.26,3.87,2.46,4.58,,2.79,2.24,2.33,2.57,1.26,5.51,,
Total,,,52.31,41.43,37.65,44.85,53.19,52.88,31.9,33.42,,46.86,49.36,36.75,29.97,29.81,34.78,29.52,20.6,24.41,30.15,32.35,,34.69,49.05,49.01,43.65,53.17,37.85,39.15,41.49,,23.28,45.2,27.11,29.49,38.11,37.24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870+71 Total Deleted Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 Feb +T Deleted Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892 Deleted described as bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
