BURFORD HOUSE TENBURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO582680,Long,-2.613784,Lat,52.308966,Elevation,193,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,,2.65,0.91,2.63,1.14,4.33,3.28,2.87,2.97,0.08,3.06,1.99,0.55,1.43,2.79,1.68,1.98,2,1.11,0.88,2.82,2.86,2.47,4.38,1.73,4.25,4.14,3.1,2.24,4.18,2.49,4,0.5,,0.38,0.6,0.99,2.91,3.02,0.67,,,,,,
February,,,,,,,,1.37,3.4,0.52,1.71,0.46,2.84,0.5,0.59,0.49,2.23,1.34,0.85,1.32,0.53,3.03,1.63,0.76,1.54,2.99,2.49,2.48,1.9,2.96,2.38,1.51,4.08,0.29,1.65,2.17,2.91,1.24,1.37,1.71,3.06,3.47,1.54,3.35,1.68,4.99,,,,,,
March,,,,,,,,1.54,2.66,1.07,0.77,3.61,0.04,0.66,0.58,2.66,1.02,1.96,0.35,1.23,2.26,3.16,3.7,0.82,1.44,0.51,1.09,3.92,1.26,1.42,1.82,1.37,2.42,3.2,1.4,0.83,1.61,2.01,1.12,0.78,0.62,2.09,2.59,0.64,1.8,0.97,,,,,,
April,,,,,,,,0.65,2.23,3.59,3.26,1.54,0.32,2.25,0.35,0.62,1.68,3.62,3.09,2.74,0.9,0.88,2.53,1.62,1.35,1.12,1.76,2.52,1.27,1.34,0.33,2.95,2.44,0.79,1.74,1.21,3.3,1.65,1.54,2.06,2.01,0.55,2.9,1.34,1.72,2.51,,,,,,
May,,,,,,,,3.58,0.65,3.18,1.61,1.49,2.57,1.98,1.94,1.35,1.4,4.03,2.85,0.41,1.89,0.83,4.42,1.1,1.59,2.9,0.51,1.68,2.87,4.61,1.32,0.83,1.53,2.12,1.93,2.17,0.41,2.14,5.7,1.76,2.23,1.85,2.78,1.05,0.87,2.74,,,,,,
June,,,,,,,,1.92,5.78,1.05,1.47,2.55,4.32,2.01,0.92,2.99,2.05,2.81,2.85,1.18,5.57,2.85,2.22,4.54,1.53,0.62,4.85,1.27,0.36,0.92,0.38,3.44,3.91,4.36,0.52,2.31,0.93,1.72,2.54,5.51,4.98,2.53,2.98,1.8,2.33,1.72,,,,,,
July,,,,,,,,0.99,2.4,2.42,1.64,1.53,4.25,3.43,3.99,4.77,1.76,2.35,1.76,0.57,2.35,4.63,2.09,0.84,0.64,3.23,1.18,2.34,1.2,0,0.92,3.16,3.94,2.9,1.24,4.74,0.97,2.82,1.31,2.27,3.65,0.68,3.45,3.35,2.08,0.93,,,,,,
August,,,,,,,,1.71,2.43,0.9,1.76,2.28,4.37,2.13,1.34,1.8,4.33,4.45,1.8,1.16,4.97,0.98,2,1.16,0.29,3.99,1.35,1.35,3.35,1.82,1.69,2.31,2.15,2.94,2.17,3.38,1.12,3.34,5.95,4.77,2.5,2.93,1.35,0.88,1.16,2.77,,,,,,
September,,,,,,,,2.1,1.73,3.56,1.77,0.4,2.84,1.98,0.93,0.99,3.24,1.68,2.41,2.19,2.48,2.5,3.94,3.78,2.88,0.2,7.16,1.17,2.15,2.94,0.84,6.72,2.71,1.4,3.13,2.92,5.6,3.23,2.43,1.6,2.2,1.98,0.67,4.82,2.47,0.54,,,,,,
October,,,,,,,,3.78,6.42,2.86,1.91,2.16,3.9,4.75,2.65,3.57,2.96,2.87,4.1,4.1,1.51,1.81,3.95,4.01,2.64,3.06,2.11,2.62,2.64,4.61,4.3,2.2,4.01,1.61,3.17,6.29,3.28,1.74,3.42,1.46,5.38,2.67,6.38,2.88,1.24,3.63,,,,,,
November,,,,,,,,1.55,1.43,0.82,3.08,1.04,7.7,1.06,1.17,1.11,1.07,1.53,0.45,2.01,1.61,2.31,1.06,2.67,2.25,3.15,1.07,0.93,1.17,1.85,3.06,0.95,2.71,1.77,2.75,4.11,2.6,2.94,3.84,0.29,1.65,2.32,3.02,3.57,1.09,2.5,,,,,,
December,,,,,,,,5.34,4.06,3.59,1.85,1.8,3.24,2.11,1.68,1.15,3.75,0.96,2.86,3.51,4.69,2.06,1.58,1.1,2.04,1.8,1.29,1.74,5.94,3.93,1.46,1.56,6.41,0.53,1.34,0.71,4.77,1.86,1.38,0.78,3.25,2.59,3.14,1.34,2.27,0.65,,,,,,
Total,,,,,,,,27.18,34.1,26.19,21.97,23.19,39.67,25.73,19.11,21.58,28.55,29.59,23.92,21.85,31.55,26.72,31.1,24.4,19.3,24.45,27.68,24.88,26.58,30.78,20.23,31.25,40.45,25.01,23.28,35.02,29.99,28.69,31.1,,31.91,24.26,,27.93,21.73,24.62,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1879 and 1879 total figures were in brackets on the original sheet and have been removed from this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The observer did not enter an annual total for 1882, stating ""the 1882 observations were unreliable"" but with no explanation. The monthly figures have been left in place.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
