CRAMALT LODGE MEGGET WATER,,,,,,,,,,,,,,,,,,,,
Grid ref,NT196230,Long,-3.27411,Lat,55.494151,Elevation,1005,ft,,,,,,,,,,,,
Station no,5062,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,7.16,2.42,5.6,5.58,3.95,2.98,4.08,6.4,3.09,3.04,6.38,,,
February,,,,,,,2.92,4.2,4.08,2.38,6.5,5.9,4.07,3.85,7.03,7.41,4.36,,,
March,,,,,,,3.67,4.32,7.72,6.5,4.37,2.42,5.58,6.46,6.54,1.05,2.92,,,
April,,,,,,,2.15,2.31,2.05,3.26,4.44,4.86,1.09,6.25,2.81,1.39,3.3,,,
May,,,,,,,6.57,5.56,2.46,2.7,2.03,3.11,1.32,3.7,2.62,1.53,4.43,,,
June,,,,,,,2.12,5.44,2.85,2.37,2.61,3.06,6.74,3.35,2.28,1.11,2.63,,,
July,,,,,,,2.85,3.25,2.37,4.86,5.29,1.37,3.68,0.8,2.04,4.03,5.04,,,
August,,,,,,5.84,8.6,5.65,4.96,3.02,8,2.68,4.94,1.67,3.37,3.72,4.74,,,
September,,,,,,2.91,1.25,1.07,5.75,3.46,0.82,1.83,3.11,2.63,2.18,1.22,2,,,
October,,,,,,3.94,8.79,8.69,1.77,10.41,4.53,4.16,4.5,4.6,1.88,2.64,,,,
November,,,,,,5.89,4.92,4.4,3.95,2.09,3.09,7.81,4.17,7.11,8.57,2.42,,,,
December,,,,,,3.3,4.01,6.41,2.32,5.76,5.56,8.91,9.28,3.48,10,7.01,,,,
Total,,,,,,,55.01,53.72,45.88,52.39,51.19,49.09,52.56,50.3,52.41,36.57,,,,
,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1900-1909_27_pt1-page-098.csv; CORRECTION 1907 Octobr value is 8.69 (JacsHu),,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_25_pt1-page-172.csv,,,,,,,,,,,,,,,,,,,,
