"MEGGAT HEAD EDINBURGH W.W. NO 1",,,,,,,,,,,,
Grid ref,NT169213,Long,-3.316324,Lat,55.478428,,,,,,,
Station no,5062,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.45,2.93,3.66,6.70,7.20,2.20,5.50,1.30,4.56,7.05,,
February,2.47,2.22,1.73,8.50,4.25,3.05,2.10,2.15,2.63,2.20,,
March,0.57,2.92,3.45,19.93,4.80,9.03,2.05,4.48,6.78,6.70,,
April,2.55,4.80,3.90,1.55,6.12,4.35,1.70,3.20,2.03,4.05,,
May,6.10,2.43,2.65,3.33,3.50,2.95,5.96,5.45,2.88,3.60,,
June,10.00,3.54,1.30,2.42,4.30,2.10,2.30,5.88,3.65,2.75,,
July,4.20,1.08,2.76,5.37,4.73,3.37,3.13,3.98,2.53,5.60,,
August,5.22,4.75,3.05,8.05,6.30,5.50,8.43,6.00,5.68,3.10,,
September,4.78,5.04,3.79,4.55,4.10,2.70,0.80,0.60,4.80,3.20,,
October,4.87,3.92,5.27,13.05,2.45,4.17,7.00,8.48,1.70,13.60,,
November,5.98,3.18,5.38,4.10,2.50,6.50,4.40,4.40,4.45,2.90,,
December,11.42,3.38,8.55,5.40,5.13,2.67,1.70,4.97,3.70,7.10,,
Total,63.61,40.19,45.49,82.95,55.38,48.59,45.07,50.89,45.39,61.85,,
Calc annual,63.61,40.19,45.49,82.95,55.38,48.59,45.07,50.89,45.39,61.85,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
