SOURCE OF TWEED MEGGETHEAD,,,,,,,,,,
Grid ref,NT147207,Long,-3.3498,Lat,55.4734,Elevation,1750,ft,,
Station no,5062,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,4.8,,,,,,,,,
February,5.3,,,,,,,,,
March,2,,,,,,,,,
April,4.2,,,,,,,,,
May,11.1,,,,,,,,,
June,3.9,,,,,,,,,
July,3.4,,,,,,,,,
August,1.8,,,,,,,,,
September,7.1,,,,,,,,,
October,7.6,,,,,,,,,
November,3.5,,,,,,,,,
December,2.3,,,,,,,,,
Total,57,,,,,,,,,
,,,,,,,,,,
TYRain_1870-1879_11_pt1-page-078.csv,,,,,,,,,,
