CHILD-OKEFORD-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST839127,Long,-2.23043,Lat,50.91357,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1624/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.61,3.48,3.27,3.24,0.87,5.91,7.73,3.8,6.46,2.86,4.63,4.36,6.77,2.5,2.57,3.72,3.64,6.98,0.75,0.63,3.71,2.54,0.87,1.88,3.71,5.49,3.1,4.02,4.99,4.34
February,2.26,0,5.07,0.1,4.15,3.32,6,0.97,2.12,4.25,4.66,0.22,1.65,0.65,2.38,2.77,1.74,1.46,2.07,7.61,6.83,0.7,1.76,3.7,2.31,0.1,4.81,3.6,0.32,4.41
March,1.13,1.89,4.13,3.49,1.12,4.57,5.05,0.21,1.61,2.46,3.26,2.42,0.71,0.35,0.93,1.07,7.69,1.57,1.43,1.7,3.89,3.61,0.68,4.44,1.86,1.17,2.65,1.92,5.11,2.37
April,2.84,3.43,1.19,2.61,4.7,1.72,1.91,0.01,2.14,1.84,2,1.88,0.9,1.6,0.45,3,3.23,2.31,1.88,3.13,2.97,1.85,2.73,0.19,0.48,1.23,0.22,0.65,2.95,2.32
May,3.34,3.68,1.61,1.13,1.23,0.53,2.99,2.06,0.71,1.43,1.83,3.86,2.98,0.41,2.84,3.9,2.26,3.75,1.89,1.9,2.99,3.47,2.36,2.22,4.58,0.55,2.06,2.44,1.3,1.95
June,4.39,2.78,2.43,1.07,4.04,3.12,0.89,0.88,2.05,0.45,3,0.37,1.8,1.74,2.72,3.21,1.61,2.63,0.61,1.19,0.48,1.09,2.53,4.11,2.08,2.56,2.14,5.58,0.76,2.14
July,4.82,3.25,1.61,0.94,0.6,5.57,2.66,3.49,5.86,3.41,,1.22,2.34,3.09,1.1,1.21,1.31,1.19,0.62,5.42,2.02,0.98,3.02,3.22,3.41,3,4.02,1.79,0.98,4.35
August,4.54,0.79,1.06,3.65,2.54,0.09,1.12,2.45,4.32,0.06,,3.34,2,1.89,2.15,4.97,0.7,4.64,1.59,3.34,5.02,3.56,2.06,2.19,0.21,3.65,2.76,2.87,1.39,4.54
September,1.48,4.25,2.25,2.9,3.67,3.41,3.31,2.13,1.34,1.67,,2.32,2.12,1.57,3.63,6.08,1.3,3.01,4.54,4.33,3.49,4.76,3.21,3.18,0.95,4.3,3.27,4.45,0.1,6.17
October,0.58,6.33,2.27,2.12,5.35,1.5,5.44,3.18,4.73,5.43,0.61,4,4.16,4.71,4.11,1.34,1.22,2.65,8.47,1.37,1.09,4.64,3.94,2.98,3.43,1.86,3.67,3.45,3.56,9.89
November,6.57,2.37,0.71,1.69,7.73,3.56,1.73,5.41,6.97,9.43,3.57,1.68,2.27,6.99,1.05,6.94,1.61,1.95,4.72,6.48,11.18,3.52,2.61,8.59,4.21,0.7,2.82,2.85,5.37,5.24
December,1.06,1.91,1.1,10.03,6.1,4.96,4.83,4.81,1.92,3.13,2.05,4.37,3.56,3.7,4.74,5.02,3.41,7.77,1.83,3.13,3.94,2.95,0.98,4.09,5.76,5.98,3.7,4.74,10.39,4.26
Total,35.62,34.16,26.7,32.97,42.1,38.26,43.66,29.4,40.23,36.42,,30.04,31.26,29.2,28.67,43.23,29.72,39.91,30.4,40.23,47.61,33.67,26.75,40.79,32.99,30.59,35.22,38.36,37.22,51.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan Gauge started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 July-Sept estimated for broken measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan 1st Gauge moved 300yrds W Previous site no longer available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan 1st Gauge moved 100yrds E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as OKEFORD MANOR SRC_ID 7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
