"ABERDEEN CRANFORD",,,,,,,,,,,,
Grid ref,NJ920042,Long,-2.133779,Lat,57.128651,,,,,,,
Station no,RR1179,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.97,2.21,1.87,4.98,2.32,0.73,1.57,1.89,1.44,1.95,,
February,5.22,2.65,1.22,2.47,4.07,2.04,2.52,1.87,1.41,0.79,,
March,2.62,2.21,1.57,1.92,2.94,3.56,2.20,1.53,4.09,5.65,,
April,1.82,2.35,2.88,2.14,1.83,3.43,1.55,1.59,2.04,3.29,,
May,1.19,2.41,4.35,2.75,2.86,1.22,5.37,4.36,1.53,2.23,,
June,1.94,1.47,1.73,1.59,0.91,0.76,0.74,3.72,1.64,1.39,,
July,4.26,2.05,4.18,5.27,1.32,1.87,2.54,1.88,2.31,5.00,,
August,3.33,3.21,2.61,4.29,2.31,3.64,3.56,2.55,2.73,2.17,,
September,2.20,1.50,1.52,3.47,2.33,2.42,0.85,1.21,3.61,1.88,,
October,3.38,3.06,1.59,4.86,1.03,3.75,6.23,6.01,3.18,2.41,,
November,5.10,2.27,2.78,3.45,1.41,6.83,4.34,2.49,1.63,1.65,,
December,3.44,3.78,3.32,2.81,2.80,0.94,4.16,3.77,4.95,4.95,,
Total,38.47,29.17,29.62,40.00,26.13,31.19,35.63,32.87,30.56,33.36,,
Calc annual,38.47,29.17,29.62,40.00,26.13,31.19,35.63,32.87,30.56,33.36,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
