YARM EAGLESCLIFFE RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ421132,Long,-1.3506,Lat,54.5125,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.32,3.29,1.56,2.13,1.07,0.44,2.02,1.16,1.31,2.5,1.07,2.89,1.95,0.99,0.28,,,,,,,0.86,0.32,0.72,1.49,0.6,0.72,,,,,,,
February,,,,,,,1.18,0.73,0.68,1.25,1.5,1.43,2.22,1.41,1.13,0.91,1.67,2.05,0.63,2.38,1.68,,,,,,,0.81,0.56,0.61,0.37,0,0.91,,,,,,,
March,,,,,,,2.4,1.85,0.97,1.41,1.56,0.64,2.93,1.68,1.4,0.52,2.82,2.4,1.06,0.85,1.22,,,,,,,1.35,2.58,2.26,1.16,0.99,0.69,,,,,,,
April,,,,,,,2.36,2.75,1.61,0.95,0.3,2.38,2.93,1.57,0.55,1.09,2.36,3.17,1.62,1.63,2.02,,,,,,,0.83,1.81,1.38,0.43,1.32,1.19,,,,,,,
May,,,,,,,0.77,2.42,0.89,2.63,0.77,2.02,2.08,2.37,2.67,1.5,1.06,2.69,3.05,1.98,1.27,,,,,,,1.81,0.38,2.06,2.1,1.69,2.06,,,,,,,
June,,,,,,,2.06,1.34,0.42,1.26,2.3,3.98,3.62,1.62,0.64,2.33,2.41,1.85,3.12,3.33,1.62,,,,,,,0.28,1.63,0.5,1.01,0.1,3.32,,,,,,,
July,,,,,,,4.6,2.54,1.04,1.68,0.53,4.83,4.44,1.99,2,5.14,3.22,3.7,0.77,3.39,4.04,,,,,,,0.85,3.41,2.65,1.23,4.7,1,,,,,,,
August,,,,,,,3.44,2.71,2.71,1.29,2.04,1.08,2.63,2.3,2.4,2.17,2.28,5.28,5.95,3.79,1.93,,,,,,,1.37,2.23,3.16,4.55,2.88,3.3,,,,,,,
September,,,,,,,3.21,1.42,2.8,3.02,0.57,5.29,5.47,1.36,2.98,2.14,3.9,3.03,1.95,1.28,4.68,,,,,,,2.54,1.52,0.57,1.98,1.87,1.68,,,,,,,
October,,,,,,,1.65,1.02,1.78,2.89,4.82,1.99,3.8,2.38,1.37,3.37,2.34,2.7,1.8,1.05,5.13,,,,,,,2.33,0.43,4.31,1.84,1.75,4.52,,,,,,,
November,,,,,,,1.67,0.92,1.58,2.38,2.38,1.61,4.16,1.64,1.85,6.08,3.02,2.29,6.55,1.73,2.02,,,,,,,2.3,1.39,0.79,2.09,0.9,0.76,,,,,,,
December,,,,,,,1.81,2.06,4.34,2.85,3.05,1.65,3.16,0.21,2.65,1.57,4.45,2.26,3.21,0.78,2.89,,,,,,,1.92,0.6,1.3,1.17,1.72,0.82,,,,,,,
Total,,,,,,,26.47,23.05,20.38,23.74,20.89,27.34,39.46,19.69,20.95,29.32,30.6,34.31,31.66,23.18,28.78,,,,,,,17.25,16.86,20.31,19.42,18.52,20.97,,,,,,,
