SADDLEWORTH CANAL,,,,,,,,,,,,,,,,,,,,
Grid ref,SE000064,Long,-2.001471,Lat,53.554227,Elevation,574,ft,,,,,,,,,,,,
Station no,3099,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.41,5,5.1,4.83,6.75,2.88,2.6,4.46,5.95,7.04,5.21,5.56,4.32,,,
February,,,,,6.17,2.39,6.37,2.13,3.64,1.57,5.58,2.02,4.06,2.38,4.76,7.48,1.5,,,
March,,,,3.63,3.38,3.26,3.97,2.09,4.88,4.33,5.72,2.3,0.51,0.89,1.52,1.43,5.45,,,
April,,,,2.46,4.11,2.73,3.54,1.43,2.3,3.27,3.21,3.47,3.61,3.09,2.95,1.52,4.09,,,
May,,,,3.93,1.03,0.91,2.68,1.5,2.19,1.82,2.79,4.78,2.59,4.16,4.2,1.87,3.46,,,
June,,,,2.65,4.04,5.44,2.08,6.32,3.6,0.54,1.78,1.36,4.6,3.69,6.1,4.07,3.6,,,
July,,,,2.7,1.87,5.09,2.83,6.5,6.23,5.08,1.85,5.12,3.01,4.36,2.28,6.87,3.37,,,
August,,,,6.15,2.9,3.16,1.2,3.21,4.64,3.1,8.46,3.95,5.7,4.52,3.44,5.57,0.86,,,
September,,,,2.75,6.18,5.08,1.89,2.1,1.35,5.33,0.36,4.09,5.99,6.26,2.9,7.08,2.59,,,
October,,,,5.12,7.5,5.71,2.49,10.25,2.37,3.1,6.33,7.67,3.81,4.29,6.75,0.92,1.64,,,
November,,,,4.59,10.1,7.27,2.12,4.77,4.05,9.05,3.01,0.54,2.9,9.88,0.91,8.33,7.63,,,
December,,,,5.2,4.35,4.05,4.09,5.62,9.1,4.32,2.55,3.87,4.24,4.33,3.17,3.99,4.71,,,
Total,,,,,55.04,50.09,38.36,50.75,51.1,44.39,44.24,43.63,46.97,54.89,44.19,54.69,43.22,,,
,,,,,,,,,,,,,,,,,,,,
Hyd Stn 559571,,,,,,,,,,,,,,,,,,,,
SADDLEWORTH STATION NO 2,,,,,,,,,,,,,,,,,,,,
