SADDLEWORTH STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD996064,Long,-2.006787,Lat,53.554662,Elevation,630,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934
January,1.3,0.67,4.6,6,5.62,2.9,5.75,2.92,2.08,2.15,5.06,3.5,3.25,1.3,2.72,3.91,3.3,1.84,2.11,5.34,6.68,3.52,3.75,3.13,3.22,2.08,5.39,2.2,2.94,1.21,4.83,1.44,4.13,3.49,1.33,5.3,3.63,3.03,2.7,4.28,3.5,6.36,2.73,3.22,4.3,4.32,4.43,4.6,9.8,2.05,7.74,6.91,5.33,2.29,3.54
February,3.06,6.21,3.08,2.72,3.42,3.7,0.3,1.1,0.86,2.1,1.03,0.35,2.6,6,5.42,0.9,0.98,2.87,2.94,1.6,3.17,1.54,1.2,3.44,4.45,1.19,3.88,2.68,2.28,1.17,4,3.57,0.98,1.24,2.57,3.66,4.02,0.88,6.52,1.54,5.61,0.97,5.05,4.7,1.37,8.57,4.07,2.09,6.73,0.73,1.15,6.03,0.52,3.48,0.4
March,3.82,4.42,3.84,0.66,2.04,2.5,3.16,0.5,2.8,4,4.08,2.37,1.34,0.8,5.27,3.33,6.12,4.58,3.13,2.28,0.79,2.35,1.94,4.8,2.98,5.55,2.87,3.05,1.87,1.57,1.22,3.18,4.03,3.7,5.21,2.19,3.78,2.2,1.14,7.33,3.17,3.55,3.8,4.2,2.35,1.85,1.8,5.51,1.68,1.35,3.28,0.57,2.49,4.5,
April,2.54,1.43,5.5,2.33,2.09,2.25,2.7,1.82,3.6,3.05,1.35,1.8,1.47,0.63,2.13,2.62,2.55,3.52,2.63,3.58,2.62,3.06,2.79,3.05,2.78,2.95,0.85,2.41,2.64,1.37,3.87,1.67,0.5,4.1,2.35,1.51,2.89,1.55,1.94,3.06,5.26,1.92,3.15,2.91,2.53,3.13,2.25,4.94,1.3,1.74,2.75,3.75,4.25,1.41,
May,2.79,4.11,1.37,0.75,2,2.62,6.89,2.68,0.56,2.26,3.3,3.66,5.11,2.22,2.15,1.2,0.8,1.08,2.93,3.53,1.53,1.74,2.56,3.78,2.42,1.74,5.4,3.88,2.51,1,2.2,2.04,2.9,2.3,2.02,1.58,3.25,1.85,2.63,1.23,5.31,2.59,1.78,4.74,6.01,4.2,4.44,0.69,1.97,3.23,2.66,2.99,4.93,1.96,
June,2.61,1.39,7.1,4.7,1.2,3.54,2.25,0.86,3.04,0.73,3.2,2.3,3.76,2.75,3.84,2.2,2.03,3.91,3.83,0.97,4.01,1.91,1.25,1.73,2.29,2.93,1.02,6.65,2.04,3.42,5.42,3.1,4.4,2.33,2.21,1.8,3.52,2.63,1.65,1.64,6.01,0.49,3.11,2.13,4.04,0,5.12,3.76,5.58,1,2.43,6.87,0.56,3.45,
July,7.2,2.7,5.7,2.96,3.68,1.75,4.75,0.95,6.82,4.28,3.8,4.92,2.2,3.31,3.39,8.57,4.33,2.47,0.63,2.32,2.2,2.93,2.79,3.64,1.37,2.54,1.95,3.83,6.01,3.2,4.34,0.53,3.96,1.12,3.95,4.62,2.41,2.21,3.19,3,7.48,1.58,5.05,2.48,3.46,2.67,3.01,3.9,2.93,2.78,6.19,2.37,5.02,3.04,
August,1.95,5.33,5.5,3.32,2.05,1.26,2.48,1.26,3.8,7,5.5,8.3,4.55,2.9,5.06,5.01,2.33,3.22,6.62,2.27,8.18,2.55,3.71,5.11,4.37,4.24,5.19,4.39,3.06,4.47,4.89,1.92,6.16,1.99,3.79,5.7,1.9,6.52,1.66,3.58,3.81,6.5,5.82,7.46,6.27,4.34,6.12,5.45,7.33,6.09,6.25,7.03,0.48,2.2,
September,5.54,2.61,4.1,6.23,2.94,4.48,4.04,4.46,2,3.25,1.5,4.26,4.45,4.57,0.49,1.47,7.67,5.85,0.9,5.65,1.89,0.92,2.04,6.44,1.54,2.97,1.54,1.32,3.81,1.31,0.11,2.3,1.72,1.61,2.96,0.46,2.72,2.7,11.21,1.12,2.52,0.85,4.66,4.8,4.81,3.37,1.61,8.1,0.77,2.14,4.65,3.14,6.39,1.87,
October,6.77,4.18,3.92,5.49,2.64,8.28,6.35,3.21,3,5.22,3.63,6.29,7.8,2.98,4.54,3.29,5.58,2.23,3.58,3.85,4.25,3.51,5.52,8.16,2.05,2.97,5.79,6.52,1.45,2.33,2.11,1.96,3.81,1.78,2.25,1.47,4.74,7.16,3.82,2.81,0.58,2.74,1.63,4.09,5.84,6.84,5.47,3.98,3.24,5.23,6.59,2.98,7.58,4.55,
November,5.1,4.08,6.77,3.35,1.81,3.56,2.31,3.5,6.72,2,5.72,4.75,2.9,3.69,4.93,2.46,1.86,2.53,4.76,2.63,5.34,5.3,1.68,3.53,3.04,5.41,3.96,3.24,1.58,0.38,6.22,4.53,2.13,3.12,4.33,3.14,4.44,3.88,1.73,3.49,1.2,2.4,3.09,8.52,2.31,2.81,5.42,4.68,7.54,7.97,5.62,5.72,3.1,2.83,
