Rainfall at,SADDLEWORTH CANAL
,
Station no,3099,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.50,6.36,2.73,3.22,4.30,4.32,4.43,4.60,9.80,2.05,7.74,
February,5.61,0.97,5.05,4.70,1.37,8.57,4.07,2.09,6.73,0.73,1.15,
March,3.17,3.55,3.80,4.20,2.35,1.85,1.80,5.51,1.68,1.35,3.28,
April,5.26,1.92,3.15,2.91,2.53,3.13,2.25,4.94,1.30,1.74,2.75,
May,5.31,2.59,1.78,4.74,6.01,4.20,4.44,0.69,1.97,3.23,2.66,
June,6.01,0.49,3.11,2.13,4.04,0.00,5.12,3.76,5.58,1.00,2.43,
July,7.48,1.58,5.05,2.48,3.46,2.67,3.01,3.90,2.93,2.78,6.19,
August,3.81,6.50,5.82,7.46,6.27,4.34,6.12,5.45,7.33,6.09,6.25,
September,2.52,0.85,4.66,4.80,4.81,3.37,1.61,8.10,0.77,2.14,4.65,
October,0.58,2.74,1.63,4.09,5.84,6.84,5.47,3.98,3.24,5.23,6.59,
November,1.20,2.40,3.09,8.52,2.31,2.81,5.42,4.68,7.54,7.97,5.62,
December,3.75,5.71,5.62,3.96,4.71,2.79,2.24,1.67,2.58,7.14,2.65,
Total,48.20,35.66,45.49,53.21,48.00,44.89,45.98,49.37,51.45,41.45,51.96,
Calc annual,48.20,35.66,45.49,53.21,48.00,44.89,45.98,49.37,51.45,41.45,51.96,
Difference,-0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
