SADDLEWORTH STATION,,,,,,,,,,,,
Grid ref,SD996064,Long,-2.007509,Lat,53.554227,,,,,,,
Station no,3099,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.68,3.52,3.75,3.13,3.22,2.08,5.39,2.20,2.94,1.21,,
February,3.17,1.54,1.20,3.44,4.45,1.19,3.88,2.68,2.28,1.17,,
March,0.79,2.35,1.94,4.80,2.98,5.55,2.87,3.05,1.87,1.57,,
April,2.62,3.06,2.79,3.05,2.78,2.95,0.85,2.41,2.64,1.37,,
May,1.53,1.74,2.56,3.78,2.42,1.74,5.40,3.88,2.51,1.00,,
June,4.01,1.91,1.25,1.73,2.29,2.93,1.02,6.65,2.04,3.42,,
July,2.20,2.93,2.79,3.64,1.37,2.54,1.95,3.83,6.01,3.20,,
August,8.18,2.55,3.71,5.11,4.37,4.24,5.19,4.39,3.06,4.47,,
September,1.89,0.92,2.04,6.44,1.54,2.97,1.54,1.32,3.81,1.31,,
October,4.25,3.51,5.52,8.16,2.05,2.97,5.79,6.52,1.45,2.33,,
November,5.34,5.30,1.68,3.53,3.04,5.41,3.96,3.24,1.58,0.38,,
December,3.90,4.81,3.89,2.05,2.91,0.81,3.33,3.61,1.70,7.01,,
Total,44.56,34.14,33.12,48.86,33.42,35.38,41.17,43.78,35.00,41.00,,
Calc annual,44.56,34.14,33.12,48.86,33.42,35.38,41.17,43.78,31.89,28.44,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,12.56,,
