SADDLEWORTH STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD996064,Long,-2.006787,Lat,53.554662,Elevation,630,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.25,3.11,0.51,4.12,3.51,1.99,2.36,4.46,0.34,2.36,5.69,1.47,3.93,4.14,3.62,3.66,2.59,3.28,2.07,4.37,5.08,4.31,3.22,3.24,6.45,5.51,1.32
February,,,,1.25,2.97,1.49,3.75,1.86,0.17,2.91,1.04,2.2,1.33,2.35,3.57,3.51,5.18,3.43,4.35,6.36,1.86,2.35,4.88,0.56,1.51,3.2,4.9,3.37,1.47,1.75
March,,,,2.5,1.7,2.83,0.26,2.53,1.7,4.87,4.61,3.35,4.3,0.75,3.27,1.37,1.5,2.63,4.09,1.09,2.59,2.14,3.34,4.04,4.22,0.94,4.96,4.37,2.48,1.88
April,,,,2.67,0.67,1.42,3.3,2.48,3.67,4.55,1.76,1.91,3.51,2.23,1.26,1.73,2.48,5.15,1.2,1.93,2.97,3.59,2.31,1.34,2.4,1.05,1.81,2.7,0.54,2.73
May,,,,2.28,4.07,2.14,2.82,1.86,2.37,0.54,3.16,1.12,4.87,2.04,3.79,2.48,1.79,4.45,2.85,5.71,1.65,2.12,3.48,2.47,1.17,2.99,1.12,3.65,4.55,1.11
June,,,,5.29,2.8,5.02,2.96,2.9,3.26,3.08,8.28,1.95,4.73,6.25,3.52,1.42,5.69,1.82,0.63,1.21,2.39,4.03,5.63,3.17,1.41,4.05,1.1,1.41,1.24,2.43
July,,,,4.8,3.73,4.8,4.1,5.94,1.88,3.07,2.87,4.63,4.95,1.2,1.89,2.4,4.05,6.57,0.86,1.53,1.13,4.67,6.3,2.22,1.86,4.67,2.5,3.38,0.2,4
August,,,,2.9,2.59,3.94,9.61,6.75,1.61,7.31,5.77,3.2,1.75,5.26,1.7,5.72,6.03,2.88,3.64,3.47,2.21,1.97,4.39,4.57,5.6,1.8,2.4,4.43,4.77,6.75
September,,,,3.69,3.16,1.2,6.9,4.1,2.24,6.23,3.45,4.92,5.73,6.32,4.21,0.77,7.02,2.69,2.4,7.65,4.13,5.24,6.68,3.38,2.03,4.74,4.7,4.05,6.39,3.02
October,,,,4.52,3.06,7.87,2.99,1.64,5.84,5.29,5.44,1.46,3.02,9.04,4.3,5.42,2.79,4.56,5.92,3.46,9.97,5.07,6.75,5.62,4.04,3.62,2.19,5.3,3.07,0.71
November,,,,3.65,3.76,1.51,2.99,2.51,1.45,3.24,3.98,5.26,1.65,2.63,4.32,3.1,6.99,2.44,1.84,5.02,2.88,0.86,5.75,3.15,4.34,4.37,4.3,6.66,2.54,1.06
December,,,,0.69,5.21,1.23,3.46,2.2,4.59,3.87,2.17,2.04,4.82,4.18,1.45,1.2,6,1.36,9.77,5.06,3.05,3.62,2.92,1,2.61,1.47,7.96,3.24,1.95,2.5
Total,,,,40.49,36.83,33.96,47.26,38.28,30.77,47.32,46.99,32.38,43.02,47.94,34.75,33.05,53.66,41.6,41.21,45.08,38.11,37.73,56.8,36.6,35.5,36.12,41.18,49.01,34.71,29.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn 559572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location SD 997063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not used as 1878 states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on edge of railway cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
