IPSWICH-PLAYFORD (HEATH COTTAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TM220463,Long,1.2377742,Lat,52.070546,Elevation,120,ft,,,,,,,,,,,,
Station no,RR6807,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,1.03,2.23,2.69,1.23,,0.85,1.94,,,,,,,,,
February,,,,,0.8,2.12,0.69,0.5,,2.11,0.9,,,,,,,,,
March,,,,,1.29,1.03,0.66,1.46,,0.96,2.06,,,,,,,,,
April,,,,,1.48,1.43,1.23,0.98,,1.43,1.14,,,,,,,,,
May,,,,,0.6,2.66,2.07,2.13,,3.8,1.62,,,,,,,,,
June,,,,,1.04,1.12,0.33,0.6,,2.78,2.04,,,,,,,,,
July,,,,,1.75,0.82,3.14,1.46,,3.64,3.56,,,,,,,,,
August,,,,,0.98,1.22,1.42,1.41,,2.54,1.78,,,,,,,,,
September,,,,,3.96,5.5,1.03,2.02,,1.41,1.09,,,,,,,,,
October,,,,,2.33,4.85,2.45,2.67,,4.92,1.34,,,,,,,,,
November,,,,,1.1,2.03,2.91,3.33,,1.33,3.88,,,,,,,,,
December,,,,,1.97,1.7,3.9,1.4,,1.29,0.6,,,,,,,,,
Total,,,,,18.33,26.71,22.52,19.19,25.76,27.06,21.95,,,,,,,,,
