HASLEMERE-FURNACE-PLACE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU930331,Long,-0.67299,Lat,51.08991,Elevation,300,ft,,,,,,,,,,,,,
Station no,59/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.3,2.31,3.17,4.39,5.64,2.5,6.22,1.67,5.45,3.02,4.87,2.85,3.01,0.89,7.09,7.69,4.63,6.67,
February,,,3.31,6.24,0.73,6.12,2.6,4.99,2.74,0.77,1.22,2.69,0.39,4.27,0.05,4.75,3.08,5.79,0.56,2.03,
March,,,3.55,2.65,1.85,0.72,0.32,4.88,2.94,0.05,1.18,0.6,2,4.58,3.13,0.52,2.01,3.96,0.35,1.34,
April,,,4.65,3.18,4.25,3,3.52,1.79,2.15,0.65,2.83,3.76,3.65,0.78,2.8,4.17,2.14,4.12,0.17,2.58,
May,,,1.43,2.92,5.51,4.81,2.32,0.9,2.2,2.79,2.62,3.11,4.28,2.43,0.74,1.34,0.61,2.44,1.78,1.75,
June,,,1.34,0.34,3.08,0.03,2.66,2.98,2.86,1.81,0.38,1.79,1.95,1.48,1.69,3.65,4.05,1.63,0.82,1.55,
July,,,4.42,1.13,4.62,3.36,1.55,4.14,1.66,1.78,2.91,3.54,3.53,2.11,1.44,0.82,3.7,0.81,2.34,3.61,
August,,,2.75,3.13,2.89,4.19,1.37,4.24,2.42,2.35,4.54,4.68,0.45,1.1,3.45,3.19,0.88,0.73,1.23,2.14,
September,,,1.86,2.46,5.74,3.2,0.74,6.27,1.76,0.24,2.75,2.47,3.05,3.13,2.87,5.22,2.92,1.61,2.33,0.67,
October,,,0.71,7.12,4.7,4.69,2.5,2.87,7.62,4.59,1.96,0.57,6.55,2.33,2.09,4.99,1.71,3.92,4.34,6.17,
November,,,2.35,2.14,3.56,3.63,7.66,3.98,3.55,9.37,6.74,3.87,1.54,1.07,3.81,7.49,5.07,2.49,5.55,6.91,
December,,,5.18,3.45,5.99,4.1,0.16,4.96,3.51,8.84,3.37,0.75,1.08,0.7,10.26,4.61,4.48,4.93,4.64,2.34,
Total,,,36.85,37.07,46.09,42.24,31.04,44.5,39.63,34.91,35.95,30.85,33.34,26.83,35.34,41.64,37.74,40.12,28.74,37.76,
,,,,,,,,,,,,,,,,,,,,,
1931 Dec 22 Station no changed from 169 as river basin altered,,,,,,,,,,,,,,,,,,,,,
