BINGLEY-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE120382,Long,-1.8191196,Lat,53.839913,Elevation,228,ft.,,,,,,,,,,,,,
Station no,3290,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,5.91,3.97,2.14,2.86,3.99,3.73,3.28,8.32,2.42,5.87,3.2,3.47,2.35,2.99,,,4.22,4.46,4.8,
February,,0.18,3.93,6.31,1.05,5.91,2.62,1.61,4.51,0.53,1.29,3.66,0.24,5.22,0.23,,,5.81,1.54,1.81,
March,,1.77,2.42,1.97,1.21,1.16,1.46,2.95,3.01,0.19,2.57,0.42,2.1,1.76,2.98,,,2.74,0.46,1.26,
April,,1.27,3.45,2.83,2.02,2.99,1.38,2.66,1.16,1.13,4.53,3.69,3.06,1.59,3.01,,,2.61,0.26,1.62,
May,,1.59,1.02,3.48,4.2,4.18,2.62,1.07,1.9,1.61,1.67,2.77,4.04,2.58,1.71,,,2.49,3.71,0.57,
June,,0.13,1.38,0.68,2.13,0.07,2.61,2.67,5.13,0.97,1.85,5.61,0.92,1.56,1.61,,,1.85,3.05,0.59,
July,,1.72,4.42,3.01,3.33,1.08,1.92,3.52,0.74,2.02,5.1,2.85,4.47,2.43,1.74,,,2.13,3.55,4.64,
August,,4.32,4.97,3.71,2.83,3.59,2.84,5.87,4.39,1.98,4.11,3.64,1.24,0.5,1.91,,,1.62,3.8,0.83,
September,,1.31,3.34,3.63,3.49,2.64,1.77,4.02,0.69,0.3,5.83,3.68,3.42,2.03,1.71,,,1.36,1.34,,
October,,2.05,0.88,3.57,3.12,4.09,3.6,3.72,5.67,3.57,4.2,1.37,5.06,3.65,3.34,,,2.18,6.37,,
November,,2.27,1.63,4.8,2.15,2.44,5.98,3.52,5.3,6.95,4.82,6.48,2.38,2.44,1.68,,,1.61,4.56,,
December,,4.59,3.93,3.41,4.2,4.67,1.24,2.51,2.82,8.22,3.4,1.61,1.63,0.46,5.55,,,2.58,4.49,,
Total,,27.11,35.34,39.54,32.59,36.81,31.77,37.4,43.64,29.89,45.24,38.98,32.03,26.57,28.46,,,31.2,37.59,,
,,,,,,,,,,,,,,,,,,,,,
NGR is the sewage works. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
