SOUTHWELL-OXTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK704539,Long,-0.9492,Lat,53.0778,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,1.05,1.79,1.3,1.29,1.28,1.15,1.63,2.43,2.21,1.92,0.3,2.4,2.27,0.22,0.64,2.57,0.25,1.03,1.49,0.88,1.57,1.02,2.42,1.63,2.05
February,,,,,,0.5,0.33,0.78,2.03,0.44,0.76,0.39,0.72,1.13,0.39,2.09,1.31,0.82,0.26,0.98,0.78,2.09,0.57,0.39,1.51,1.5,1.76,1.12,1.62,2.01
March,,,,,,1.83,0.98,1,2.98,0.52,0.37,2.03,0.57,1.26,0.29,1,0.65,1.65,0.52,1.01,1.86,2.05,2.56,0.46,2.17,0.95,1.19,2.07,1.24,2.07
April,,,,,,1.05,3.89,1.11,1.76,2.31,1.81,1.14,0.11,1.19,0.65,0.6,1.36,2.21,1.83,2.92,0.39,1.35,1.18,0.84,1.08,0.51,1.16,2.23,0.88,1.45
May,,,,,,2.44,0.93,3.18,0.98,1.99,0.82,1.16,0.68,0.91,1.64,1.33,2.83,0.78,1.66,0.46,2.85,1.47,2.72,0.49,1.83,1.87,1.11,2.31,1.09,4.03
June,,,,,,3.3,0.61,1.88,4.05,2,0.71,3.41,3.15,3.09,1.21,2.6,1.05,3.58,1.08,1.98,3.26,2.05,1.89,1.83,1.1,1.66,2.35,2.07,0.39,1.1
July,,,,,,2.6,2.39,0.35,2.15,1.51,2.78,3.8,1.08,2.17,1.41,6.52,2.41,1.22,1.19,0.54,2.04,3.74,1.37,1.05,0.25,1.95,2.63,2.77,0.19,0.71
August,,,,,,3.44,3.64,1.82,3.8,0.55,0.84,1.32,2.48,2.66,1.14,0.63,3.35,9.33,1.95,2.23,4.59,0.31,1.4,1.53,1.23,3.79,2.75,1.51,2.81,1.03
September,,,,,,1.59,1,1.31,2.88,3.07,1.47,0.98,3.21,1.69,0.62,0.53,2.21,1.9,1.59,2.73,2.54,1.67,3.63,1.76,2.21,0.21,3.51,2.11,1.9,3.84
October,,,,,1.53,1.43,3.93,1.6,3.87,2.23,1.34,1.67,1.99,2.63,1.08,4.27,2.81,1.39,2.88,1.71,1.64,1.46,1.82,2.24,1.87,4.27,2.98,1.83,2.28,1.19
November,,,,,2.52,0.9,0.75,1.41,0.81,0.86,1.74,0.67,4.92,1.93,1.23,1.03,1.16,1.16,0.83,1.56,1.58,1.86,0.45,1.41,1.98,1.62,1.71,0.72,0.99,1.34
December,,,,,0.28,2.64,0.94,2.21,1.65,3.09,0.99,1.14,1.32,0.81,1.63,0.69,1.59,0.24,1.18,1.57,1.96,1.19,0.94,0.97,1.3,0.35,1.66,1.56,5.74,3.08
Total,,,,,,22.77,21.18,17.95,28.25,19.85,14.78,19.34,22.66,21.68,13.21,21.59,23.13,26.55,15.19,18.33,26.06,19.49,19.56,14.46,17.41,20.25,23.83,22.72,20.76,23.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observer: William Waldegrave Pelham Clay, a Lieutenant General and Magistrate, who appeared to have lived at Burgage Hill House in Southwell itself which is nearly five mile NE of Oxton Hall, where the later years were observed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869 Jun IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
