SOUTHWELL-OXTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK630515,Long,-1.061476,Lat,53.057048,Elevation,182,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,0.76,2.08,0.57,1.23,1.2,3.04,1.97,2.49,1.76,0.56,4.22,2.76,1.46,2.48,1.37,3.58,2.2,1.29,0.39,0.56,2.76,2.98,3.18,2.1,3.38,2.13,0.7,1.64,,2.7,0.93,1.31,1.77,4.18,0.93,1.76,0.73,3.58,3.54,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.75,0.42,1.69,1.66,1.91,1.7,2.65,2.45,1.33,1.71,3,1.19,2.14,1.67,2.38,1.49,1.44,3.08,2.05,4.4,1.73,3.4,2.15,2.92,0.4,0.59,1.46,1.94,,0.27,1.85,3.04,1.59,0.2,1.67,3.53,0.65,1.82,3.26,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.74,0.37,1.78,0.56,0.99,2.12,1.82,3.02,2.02,1.42,1.71,1.73,0.88,0.74,2.84,1.82,0.59,0.92,2.55,2.42,1.45,1.4,1.71,1.11,3.05,1.54,2.49,3.6,,0.87,1.18,0.34,1,1.49,3.03,1.66,1.06,0.62,0.62,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.96,1.04,1.1,0.61,1.3,2.78,1.04,1.61,0.71,3.37,3.56,1.19,1.65,0.85,2.64,2.47,1.72,2.92,1.52,1,2.95,2.95,1.96,1.72,2.19,0.96,2.88,2.81,,1.92,0.66,0.36,1.9,2.52,1.83,2.05,2.23,1.94,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.77,0.62,2.06,3.43,1.25,3.02,1.35,5.53,0.66,1.2,1.26,2.37,1.19,1.61,0.6,2.41,4.57,3.47,1.45,1.21,2.26,1.7,0.91,1.56,5.9,1.91,0.92,3.53,,3.55,3.83,1.74,1.45,0.12,0.63,1.24,2.07,3.27,1.18,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.94,2.4,0.79,1.51,2.79,2.14,0.41,1.08,0.92,3.51,3.78,1.48,0.84,2.49,2.41,1.13,2.79,4.59,4.04,1.84,3.95,4.56,0.66,3.09,1.21,0.45,1.46,0.43,,3.36,4.36,0.72,1.98,0.94,3.05,2,1.33,1.28,3.02,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.66,1.08,0.26,3.51,2.84,3.18,0.2,0.61,1.26,4,4.91,2.45,0.88,3.77,1.48,2.8,1.57,3.66,6.9,1.33,2.41,2.79,4.29,0.44,3.34,1.55,4.94,2.56,,2.82,2.21,2.03,1.68,4.83,2,0.58,0.4,1.77,1.65,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.5,2.41,1.38,3.88,3.4,2.23,4.08,1.31,1.58,1.14,3.43,2.87,2.04,3.3,1.41,3.86,7.1,4.09,2.12,6.08,1.77,1.45,2.31,1.98,1.59,1.76,3.05,2.58,,3.41,2.78,1.14,2.74,2.39,1.62,2.98,2.11,0.65,5.03,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.81,2.07,2.39,0.19,4.29,2.29,2.32,4.73,1.08,5.1,2.74,1.7,2.56,3.04,4.41,2.4,1.88,3.2,5.08,1.75,1.97,5.79,0.91,2.74,1.29,2.54,1.11,2.7,,1.01,3.06,1.13,0.78,0.68,3.59,2.5,0.48,2.75,0.75,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.06,2.38,1.95,4.8,3.58,2.29,3.07,1.25,4.85,1.78,3.82,2.04,1.93,5.23,1.77,1.96,2.77,0.86,6.55,3.11,5.88,2.63,0.94,6.1,4.44,2,0.65,3.79,,5.29,4.2,1.84,2.54,2.57,3.03,1.07,4.03,3.03,1.84,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
