FESTINIOG-BLAENYDDOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SH702424,Long,-3.9339758,Lat,52.963209,Elevation,600,ft.,,,,,,,,,,,,
Station no,RR2661,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,6,11.19,10.76,7.17,8.58,6.26,5.22,9.97,11.07,,,,,,
February,,,,,,6.24,8.84,5.63,6.34,10.55,4.93,7.36,7.06,2.45,,,,,,
March,,,,,,5.01,5.81,3.58,11.51,3.65,4.89,3.85,9.59,,,,,,,
April,,,,,,2.65,2.57,9.97,5.37,6.41,5.23,7.86,4.16,,,,,,,
May,,,,,,5.46,2.19,2.83,3.7,3.55,4.27,1.54,4.93,,,,,,,
June,,,,,7.68,2.25,8.9,1.38,1.02,2.3,3.88,1.94,6.77,,,,,,,
July,,,,,3.56,2.82,3.55,7.39,2.59,2.03,2.55,9.33,6.08,,,,,,,
August,,,,,6.33,8.8,5.23,3.17,5.65,5.07,3.98,4.77,3.52,,,,,,,
September,,,,,8.46,2.18,11.71,7.11,2.62,15.38,5.78,4.74,9.85,,,,,,,
October,,,,,2.97,5.92,3.19,10.66,7.36,8.32,15.22,9.13,12.34,,,,,,,
November,,,,,6.59,6.2,11.44,1.45,6.42,11.42,6.33,2.47,11.49,,,,,,,
December,,,,,5.98,3.69,10.1,10.67,14.76,8.25,6.87,6.01,8.99,,,,,,,
Total,,,,,,57.22,84.72,74.6,74.51,85.51,70.19,64.22,94.75,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is BLAEN-DDOL just north of Ffestiniog. Altitudes match,,,,,,,,,,,,,,,,,,,,
