SULHAMSTEAD-FIRLANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU643665,Long,-1.0772079,Lat,51.393903,Elevation,300,ft.,,,,,,,,,,,,
Station no,RR7831,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.6,4.07,0.7,1.51,0.72,2.22,1.25,4.49,3.71,,,,,,
February,,,,,,0.47,2.27,1.47,1.15,0.35,3.32,1.74,2.2,1.27,,,,,,
March,,,,,,3.99,1.52,0.99,2.68,2.99,0.87,1.99,3.74,2.89,,,,,,
April,,,,,,1.81,0.79,3.09,4.01,2,1.88,1.3,0.1,3.48,,,,,,
May,,,,,,0.93,1.8,2.03,1.79,1.66,1.84,1.83,1.47,2.46,,,,,,
June,,,,,,5.13,2.7,2.45,0.9,5.33,3.77,1.93,4.59,0.99,,,,,,
July,,,,,,0.82,0.28,2.47,1.87,2.52,2.5,0.22,2.17,1.68,,,,,,
August,,,,,,3.01,1.12,1.13,3.15,1.83,2.09,1.21,5.29,1.13,,,,,,
September,,,,,,0.93,0.84,0.7,2.32,2.98,0.26,1.47,2.37,2.08,,,,,,
October,,,,,,1.54,5.25,5.02,1.86,4.87,4.78,2.75,3.01,4.73,,,,,,
November,,,,,,3.22,3.66,2.38,0.73,0.59,3.77,3.69,2.02,3.06,,,,,,
December,,,,,,0.8,2.26,3.85,2.23,3.24,4.87,6.89,3.55,1.29,,,,,,
Total,,,,,,23.25,26.56,26.28,24.2,29.08,32.17,26.27,35,28.77,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Firlands. Stated altitude might be a few ft. too low.,,,,,,,,,,,,,,,,,,,,
1905 has annual total in brackets without explanation and none of the monthly readings are in brackets. Readings left in this record,,,,,,,,,,,,,,,,,,,,
