"TONBRIDGE BEECH HURST",,,,,,,,,,,,
Grid ref,TQ587457,Long,0.269556,Lat,51.188496,,,,,,,
Station no,RR4137,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.41,1.08,0.97,2.21,4.44,1.05,4.15,1.32,1.84,1.11,,
February,6.34,1.88,1.27,1.51,3.43,0.96,2.12,1.39,1.26,0.59,,
March,1.15,2.29,1.63,2.45,1.72,3.58,1.72,1.01,2.71,3.92,,
April,1.02,1.93,0.68,2.11,0.99,2.65,1.34,2.65,2.43,1.66,,
May,1.12,0.77,2.60,1.59,2.35,1.78,1.55,2.06,1.43,1.64,,
June,2.74,1.41,-999.00,5.04,1.03,4.17,2.55,2.20,2.42,2.67,,
July,1.36,1.34,2.39,7.59,0.87,0.98,0.50,1.33,3.28,2.83,,
August,2.28,1.78,3.41,3.00,1.31,2.14,0.82,2.31,4.93,2.31,,
September,0.88,1.15,1.27,2.24,1.47,1.70,1.33,0.39,1.53,2.92,,
October,2.40,2.85,2.10,5.86,1.93,1.55,4.11,4.66,1.86,5.60,,
November,2.79,0.68,2.00,2.23,1.35,4.40,5.45,2.10,1.12,0.91,,
December,3.15,4.46,1.69,2.29,3.32,0.62,2.05,2.78,2.80,3.95,,
Total,28.64,21.62,22.49,38.12,24.21,25.58,27.69,24.20,27.61,30.11,,
Calc annual,28.64,21.62,20.01,38.12,24.21,25.58,27.69,24.20,27.61,30.11,,
Difference,0.00,0.00,2.48,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
