COSHAM-PURBROOK-GRANGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU682078,Long,-1.03186,Lat,50.8661,Elevation,160,ft,,,,,,,,,,,,
Station no,RR7646,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.4,1.24,2.3,4.15,1.19,8.1,1.23,1.04,0.96,3.15,1.18,3.83,4.83,0.72,5.17,1.46,1.85,4.48,7.87
February,,1.07,2.02,1.82,4.29,0.68,3.37,1.37,1.31,0.34,3.95,1.99,2.65,1.41,4.59,5.48,4.48,1.68,1.69,3.84
March,,2.48,2.23,2.98,0.95,4.84,1.37,0.8,2.81,4.08,1.1,1.83,4.33,3.19,4.84,1.1,3.71,3.26,1.41,6.6
April,,2.68,1.21,2.94,1.63,1.57,0.8,4.41,2.55,1.56,2.18,1.14,0.04,2.93,1.46,1.19,1.1,2.33,2.53,2.41
May,,0.54,2.69,3.3,4.2,0.46,2.38,2.33,1.58,1.75,1.67,2.78,1.35,3.24,1.43,4.11,1.52,4.01,1.49,1.66
June,,1.65,3.94,2.3,1.59,4.26,1.69,2.07,0.73,3.8,2.12,1.88,3.76,0.51,2.08,0.97,2.32,3.79,1.17,0.9
July,,3.8,1.77,2.54,2.23,0.31,0.47,1.66,2.1,3.29,2.67,0.97,2.48,1.92,3.32,3.29,0.99,3.13,3.46,1.62
August,,1.72,4.54,4.42,2.85,2.49,1.76,1.85,2.51,3.45,3.23,0.75,7.47,2,1.9,1.26,3.41,6.43,2.64,3.38
September,,2.58,0.96,2.58,2.14,3.36,1.31,0.56,2.52,3.37,0.16,1.52,2.99,3.15,1.64,2.83,3.24,1.9,6.94,1.32
October,,3.18,2.27,8.14,2.93,1.63,5.1,7.19,3.25,8.79,4.58,5.43,3.35,5.04,2.23,4.28,5.97,5.04,1.62,0.97
November,,0.48,3.21,2.42,1.62,3.97,4.04,2.81,1.52,0.92,4.3,5.07,2.12,3.34,3.75,3.07,5.04,1.79,3.06,2.99
December,,3.82,1.75,2.38,3.61,1.09,2.18,3.58,3.79,4.73,4.96,8.62,4.37,2.34,9.19,9.15,4.16,1.13,3.97,8.13
Total,,25.4,27.83,38.12,32.19,25.85,32.57,29.86,25.71,37.04,34.07,33.16,38.74,33.9,37.15,41.9,37.4,36.34,34.46,41.69
,,,,,,,,,,,,,,,,,,,,
Given elevation of 100ft too low and does have question mark,,,,,,,,,,,,,,,,,,,,
BR has no entry for this site in 1920,,,,,,,,,,,,,,,,,,,,
