LYDEARD-ST-LAWRENCE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST128321,Long,-3.24525,Lat,51.08227,Elevation,390,ft,,,,,,,,,,,,
Station no,2078/9/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,7.24,2.6,3.98,4.06,6.77,2.63,2.09,4.11,3.71,8.06,,
February,,,,,,,,,1.79,2.83,3.66,0.29,1.79,0.86,3.01,2.79,1.11,1.95,,
March,,,,,,,,,1.84,2.87,4.12,2.73,1.27,0.22,0.94,1.11,6.34,2.05,,
April,,,,,,,,,,2.38,2.03,1.89,0.8,1.23,0.91,2.91,3.09,2.38,,
May,,,,,,,,,1.38,2.03,1.85,5.34,3.62,1.22,4.04,4.92,3.54,4.26,,
June,,,,,,,,,3.35,0.66,1.38,0.81,1.61,2.95,2.89,2.8,2.41,1.84,,
July,,,,,,,,,5.52,4.28,1.88,1.78,2.14,1.91,2.63,1.77,1.7,1.8,,
August,,,,,,,,,2.23,0.17,3.79,3.51,3.1,3.01,2.14,5.96,1.06,3.74,,
September,,,,,,,,,1.23,1.46,1.43,2.7,4.77,3.06,3.36,4.46,1.78,2.17,,
October,,,,,,,,4.76,4.37,5.45,3.38,2.37,3.45,5.53,4.54,1.35,0.8,3.42,,
November,,,,,,,,5.56,7.24,8.88,3.18,1.71,3.75,6.52,1.59,6.85,3.3,2.07,,
December,,,,,,,,4.53,2.47,3.46,2.89,4.12,3.38,3.87,6.26,4.2,2.87,5.81,,
Total,,,,,,,,,,37.07,33.57,31.31,36.45,33.01,34.4,43.23,31.71,39.55,,
,,,,,,,,,,,,,,,,,,,,
The Manor House Lydeard Down Hill Lydeard St Lawrence,,,,,,,,,,,,,,,,,,,,
Given elevation of 352ft too low for this part of village,,,,,,,,,,,,,,,,,,,,
1939 Apr Estimated,,,,,,,,,,,,,,,,,,,,
1949 Terminated owing to poor eyesight of observer,,,,,,,,,,,,,,,,,,,,
