DESBOROUGH,,,,,,,,,,,,
Grid ref,SP801835,Long,-0.822978,Lat,52.443605,,,,,,,
Station no,RR7039,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.98,0.95,2.09,2.51,0.88,4.42,0.94,1.18,1.21,,
February,,1.24,1.91,1.37,3.32,0.65,2.02,1.30,1.10,0.57,,
March,,1.98,1.27,3.19,1.56,2.86,1.43,1.10,2.94,2.79,,
April,,2.25,1.53,1.78,1.32,2.04,0.68,2.67,2.90,1.29,,
May,,1.43,2.38,2.81,2.06,0.95,1.75,5.11,1.49,1.49,,
June,,1.61,2.77,2.55,1.42,3.14,2.95,2.11,1.17,3.25,,
July,,2.08,1.38,2.75,2.93,1.91,0.51,3.14,2.25,2.75,,
August,,1.56,2.25,4.41,2.74,3.26,1.23,2.81,2.89,2.24,,
September,,1.42,1.75,2.96,2.17,2.36,1.09,0.77,1.50,2.14,,
October,,1.89,2.25,7.03,0.89,1.16,5.36,4.50,1.42,3.39,,
November,,0.85,2.06,1.93,1.43,3.54,4.02,2.46,0.95,0.69,,
December,,4.06,1.35,1.48,1.92,1.06,3.03,3.41,1.39,3.73,,
Total,,21.35,21.85,34.35,24.27,23.81,28.49,30.32,21.18,25.54,,
Calc annual,0.00,21.35,21.85,34.35,24.27,23.81,28.49,30.32,21.18,25.54,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,,
