DESBOROUGH-GRANGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP804842,Long,-0.81839693,Lat,52.449853,Elevation,457,ft,,,,,,,,,,,,
Station no,RR7039,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.98,0.95,2.09,2.51,0.88,4.42,0.94,1.18,1.21,1.96,0.83,2.67,2.98,0.85,,,,,
February,,1.24,1.91,1.37,3.32,0.65,2.02,1.3,1.1,0.57,2.56,1.2,1.89,0.7,1.15,,,,,
March,,1.98,1.27,3.19,1.56,2.86,1.43,1.1,2.94,2.79,0.82,2,2.87,3.51,2.73,,,,,
April,,2.25,1.53,1.78,1.32,2.04,0.68,2.67,2.9,1.29,1.48,1.01,0.1,2.6,0.86,,,,,
May,,1.43,2.38,2.81,2.06,0.95,1.75,5.11,1.49,1.49,2.41,2.25,1.96,3.06,1.19,,,,,
June,,1.61,2.77,2.55,1.42,3.14,2.95,2.11,1.17,3.25,1.13,1.57,3.47,0.54,2.04,,,,,
July,,2.08,1.38,2.75,2.93,1.91,0.51,3.14,2.25,2.75,2.27,0.1,4.94,1.7,1.83,,,,,
August,,1.56,2.25,4.41,2.74,3.26,1.23,2.81,2.89,2.24,2.19,2.27,7.47,1.66,1.6,,,,,
September,,1.42,1.75,2.96,2.17,2.36,1.09,0.77,1.5,2.14,0.76,1.18,1.11,1.57,0.98,,,,,
October,,1.89,2.25,7.03,0.89,1.16,5.36,4.5,1.42,3.39,2.2,1.56,2.66,3.81,2.48,,,,,
November,,0.85,2.06,1.93,1.43,3.54,4.02,2.46,0.95,0.69,3.5,1.91,1.67,2.66,2.29,,,,,
December,,4.06,1.35,1.48,1.92,1.06,3.03,3.41,1.39,3.73,6.02,4.39,2.49,0.72,5.61,,,,,
Total,,21.35,21.85,34.35,24.27,23.81,28.49,30.32,21.18,25.54,27.3,20.27,33.3,25.51,23.61,,,,,
