BOSLEY TOP LOCK,,,,,,,,,,,,
Grid ref,SJ905669,Long,-2.143666,Lat,53.199091,,,,,,,
Station no,2771/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.58,5.02,1.72,3.49,2.80,5.34,,
February,,,,2.41,2.32,1.16,2.19,4.78,0.72,2.60,,
March,,,,2.49,2.74,1.51,3.21,1.77,1.96,1.10,,
April,,,,0.57,2.17,1.63,0.40,1.04,2.60,1.38,,
May,,,,2.95,3.36,1.22,1.63,2.78,0.96,2.02,,
June,,,,3.55,2.90,3.27,2.19,5.50,1.55,2.08,,
July,,,,5.71,0.64,4.28,5.66,4.73,3.53,4.89,,
August,,,,5.71,0.98,8.85,5.42,5.73,1.22,4.13,,
September,,,,4.08,2.22,2.61,6.71,4.31,0.20,3.69,,
October,,,,6.31,2.36,2.61,2.94,3.58,2.72,4.81,,
November,,,,6.03,1.98,1.76,1.98,1.63,4.60,5.56,,
December,,,,5.38,3.30,3.66,3.46,3.58,5.12,4.02,,
Total,,,,,27.55,37.58,37.51,42.92,27.98,41.62,,
Calc annual,0.00,0.00,0.00,45.19,27.55,37.58,37.51,42.92,27.98,41.62,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
