BOLTBY VILLAGE - EAST,,,,,,,,,
Grid ref,SE492866,Long,-1.246,Lat,54.273,Elevation,495,ft,
Station no,3434,,,,,,,,
,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912
January,1.69,0.46,2.96,0.61,1.24,0.48,2.39,1.78,3.09
February,1.95,1.20,1.65,1.52,1.48,0.86,3.22,0.99,1.82
March,1.39,1.88,2.09,0.98,3.67,3.81,0.80,1.78,2.96
April,1.36,2.70,1.51,2.48,3.24,2.43,2.26,1.39,0.10
May,3.55,0.95,3.16,3.30,1.32,1.22,2.09,1.38,2.16
June,1.17,1.38,1.50,3.66,0.27,2.31,1.52,2.05,5.00
July,1.41,1.31,1.43,1.84,3.55,2.88,2.69,0.70,3.94
August,3.02,2.80,2.52,2.08,1.66,3.61,3.25,2.76,5.10
September,1.47,2.42,0.67,0.78,1.85,2.08,0.45,2.59,1.98
October,0.51,2.26,5.55,4.49,1.01,2.97,2.77,2.03,2.38
November,1.63,4.69,2.81,2.32,1.77,0.87,3.07,3.97,3.35
December,1.42,0.29,2.45,3.23,1.53,3.93,2.93,3.31,1.16
Total,20.57,22.34,28.30,27.29,22.59,27.45,27.44,24.73,33.04
,,,,,,,,,
TYRain_1900-1909_22_pt1/107,,,,,,,,,
TYRain_1910-1919_20_pt1/298,,,,,,,,,
,,,,,,,,,
# The gauge moved to the west end of the village at the start of 1913.,,,,,,,,,
