BOLTBY VILLAGE - WEST,,,,,,,,
Grid ref,SE488867,Long,-1.252,Lat,54.274,Elevation,484,ft
Station no,3434,,,,,,,
,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,
January,3.94,1.60,4.32,,,,,
February,1.02,1.83,3.90,,,,,
March,2.43,2.24,1.50,,,,,
April,3.41,0.57,1.18,,,,,
May,1.90,1.92,1.30,,,,,
June,1.38,1.83,0.39,,,,,
July,0.63,5.34,4.32,,,,,
August,1.06,1.65,3.73,,,,,
September,1.20,1.38,0.85,,,,,
October,2.35,2.15,,,,,,
November,2.22,3.11,1.89,,,,,
December,1.84,5.45,5.37,,,,,
Total,23.38,29.07,,,,,,
,,,,,,,,
TYRain_1910-1919_20_pt1/298,,,,,,,,
,,,,,,,,
# The reading for October 1915 is an estimate and has been omitted.,,,,,,,,
#,,,,,,,,
# The gauge arrived from the east end of the village at the start of 1913.,,,,,,,,
