BOLTBY VILLAGE - SOUTH EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE493865,Long,-1.244,Lat,54.272,Elevation,460,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.42,3.79,3.44,2.70,4.18,1.80,2.10,2.12,2.97,2.64,4.48,3.27,4.67,2.61,1.72,2.08,2.12,2.94,4.50,3.98,3.21,5.42,2.11,3.29,3.36,4.28,2.11,4.17,2.09,3.26,7.02,1.40,1.68,2.38,2.36,0.98,1.78,1.25,4.70,1.61,3.21,2.44,4.12
February,2.06,1.37,0.92,0.24,2.39,5.44,1.80,4.38,1.70,1.57,1.56,1.24,1.76,1.84,1.12,4.70,1.36,3.44,2.81,4.42,2.10,2.00,1.52,4.94,1.47,0.78,2.15,2.00,0.97,3.22,1.19,0.75,3.65,3.35,0.81,1.51,2.98,2.50,2.35,2.80,4.02,0.66,2.81
March,1.37,3.59,2.40,1.06,2.09,1.76,1.23,1.80,0.86,2.87,3.02,0.28,3.32,1.45,2.44,2.09,3.40,0.95,2.58,3.35,0.29,2.98,2.23,2.21,1.94,0.35,0.74,0.42,1.25,4.48,1.26,1.68,1.12,3.21,2.11,0.10,1.96,2.17,,1.62,3.05,1.17,1.47
April,1.62,2.01,3.64,1.39,2.25,1.80,2.00,2.98,0.78,1.92,1.15,1.58,4.79,4.55,1.36,1.47,2.89,3.17,1.77,2.71,0.30,1.23,1.52,1.94,1.07,1.45,2.40,1.72,2.15,2.86,1.54,2.52,2.13,1.47,1.61,2.91,0.26,1.86,1.64,0.83,1.32,3.05,0.99
May,2.92,0.80,2.30,1.92,0.77,2.89,4.75,3.21,3.29,1.88,1.34,1.86,1.38,3.12,5.27,2.24,1.03,1.52,1.36,2.80,3.69,1.88,1.40,1.61,2.64,2.94,1.23,2.24,2.23,2.42,1.22,1.41,1.05,4.87,1.92,2.50,3.31,2.50,0.67,1.31,3.61,0.64,1.20
June,1.04,1.52,1.97,0.30,2.07,0.84,1.83,0.12,4.55,3.50,3.60,1.86,1.99,4.38,1.05,1.79,1.48,3.20,3.65,1.32,2.28,2.56,0.53,0.83,0.92,1.58,3.14,3.39,2.83,2.47,6.33,0.86,2.32,1.32,2.48,3.91,3.42,3.17,4.38,1.98,3.29,1.87,0.67
July,3.83,2.89,5.47,1.14,4.66,2.86,2.60,1.94,2.57,4.56,0.75,1.96,6.84,3.75,6.00,2.21,3.94,0.64,4.56,1.37,3.08,3.90,6.62,1.88,4.55,0.79,3.17,1.84,3.83,2.02,1.52,1.96,3.96,2.72,1.76,3.76,3.20,1.32,5.19,4.71,3.45,1.48,6.45
August,2.32,2.45,2.71,4.06,2.66,3.72,3.00,2.70,2.74,6.09,5.66,3.29,3.39,3.56,1.80,0.46,2.66,3.05,2.92,1.80,2.82,2.25,1.34,4.03,3.36,3.86,3.32,4.85,4.60,0.19,3.38,2.87,5.43,6.17,2.56,4.60,6.47,0.86,8.30,5.86,5.24,0.32,3.15
September,5.84,1.50,1.33,1.28,2.58,2.76,2.57,3.20,,6.58,0.53,0.75,5.67,5.06,2.44,1.68,1.82,4.52,2.78,1.26,3.00,2.61,1.66,0.74,1.89,3.65,5.44,1.84,3.43,1.79,1.80,0.52,3.68,2.48,4.53,1.88,2.25,1.41,2.44,3.72,3.52,0.30,3.23
October,1.77,5.83,2.41,1.65,1.28,2.94,4.50,3.03,3.42,2.67,3.90,2.93,2.56,1.51,3.88,4.61,3.07,3.49,1.66,2.38,3.94,4.54,3.33,3.87,2.59,1.85,3.38,2.68,0.73,0.53,1.29,,1.24,1.67,4.33,2.13,5.83,1.87,1.74,2.27,2.00,1.98,7.95
