"THIRSK BOLTBY",,,,,,,,,,,,
Grid ref,SE492866,Long,-1.245993,Lat,54.272692,,,,,,,
Station no,3434,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.69,0.46,2.96,0.61,1.24,0.48,,
February,,,,,1.95,1.20,1.65,1.52,1.48,0.86,,
March,,,,,1.39,1.88,2.09,0.98,3.67,3.81,,
April,,,,,1.36,2.70,1.51,2.48,3.24,2.43,,
May,,,,,3.55,0.95,3.16,3.30,1.32,1.22,,
June,,,,,1.17,1.38,1.50,3.66,0.27,2.31,,
July,,,,,1.41,1.31,1.43,1.84,3.55,2.88,,
August,,,,,3.02,2.80,2.52,2.08,1.66,3.61,,
September,,,,,1.47,2.42,0.67,0.78,1.85,2.08,,
October,,,,,0.51,2.26,5.55,4.49,1.01,2.97,,
November,,,,,1.63,4.69,2.81,2.32,1.77,0.87,,
December,,,,,1.42,0.29,2.45,3.23,1.53,3.93,,
Total,,,,,20.57,22.34,28.30,27.29,22.59,27.45,,
Calc annual,0.00,0.00,0.00,0.00,20.57,22.34,28.30,27.29,22.59,27.45,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,,
