SHUSHIONS-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ842143,Long,-2.2353867,Lat,52.726111,Elevation,325,ft.,,,,,,,,,,,,
Station no,RR4052,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.06,1.87,2.39,1.64,3.19,2.34,1.9,0.36,0.47,2.56,3.69,,,,,,
February,,,,0.53,2.7,1.35,2.79,2.81,1.1,2.65,2.43,3.01,2.39,2.27,,,,,,
March,,,1.95,2.59,1.06,0.84,2.31,2.64,0.76,0.54,1.14,2.05,1.82,1.31,,,,,,
April,,,2.87,0.94,1.09,0.56,3.34,2.23,1.95,2.76,1.3,0.85,3.23,1.05,,,,,,
May,,,2.72,2.24,1.74,1.51,0.99,2.06,6.26,2.99,2.48,1.97,2.05,1.23,,,,,,
June,,,3.85,3.36,0.59,2.69,2.95,1.51,2.94,5.3,3.18,2.02,5.42,3.2,,,,,,
July,,,5.18,2.69,1.47,6.39,3.12,4.81,1.95,4.21,5.71,2.27,3.01,2.87,,,,,,
August,,,3.37,2.81,2.4,3.41,2.59,4.47,5.91,6.4,1.05,4.51,2.27,1.51,,,,,,
September,,,3.38,1.96,2.56,3.52,5.02,2.18,2.56,2.48,3.24,1.98,2.2,4.77,,,,,,
October,,,5.04,2.6,1.64,5.69,2.8,2.18,3.69,1.18,4.39,2.31,5.71,3.05,,,,,,
November,,,2.91,1.27,3.77,3.56,3.89,2.65,2.98,1.09,1.74,2.31,4.46,3.83,,,,,,
December,,,3.11,0.64,2.39,1.12,4.23,1.54,2.33,0.81,3.53,2.88,4.5,0.94,,,,,,
Total,,,,23.69,23.28,33.03,35.67,32.27,34.77,32.31,30.55,26.63,39.62,29.72,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Shushions Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,
