SOUTHWOLD-QUAY-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM486766,Long,1.6473086,Lat,52.331117,Elevation,30,ft,,,,,,,,,,,,,
Station no,1369,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,1.37,1.7,0.95,0.75,1.6,2.28,3.57,3.85,,,
February,,,,,,,,,,,1.25,2.83,0.44,1.73,0.31,2.06,2.59,3.09,,,
March,,,,,,,,,,,1.09,0.36,1.71,1.37,1.95,0.67,0.5,2.1,,,
April,,,,,,,,,,,1.82,3.53,2.91,0.94,1.82,2.3,1.15,2.06,,,
May,,,,,,,,,,,2.13,3.26,2.56,1.91,1.83,1.26,1.07,3.03,,,
June,,,,,,,,,,,0.61,1.24,0.45,2.5,1.57,2.16,3.48,1.04,,,
July,,,,,,,,,,,3.8,3.49,2.55,1.05,1.62,1,3.57,1.44,,,
August,,,,,,,,,,,3.08,3.13,2.33,0.78,2.4,2.18,0.79,1.98,,,
September,,,,,,,,,,,4.35,1.52,1.37,3.5,1.63,4.65,3.63,2.56,,,
October,,,,,,,,,,2.41,0.59,0.82,4.25,3.53,1.69,2.63,2.48,1.91,,,
November,,,,,,,,,,3.73,3.6,1.71,1.14,2.69,1.68,3.19,2.69,1.57,,,
December,,,,,,,,,,3.97,2.11,1.3,0.43,0.58,3.11,2.38,1.36,3.49,,,
Total,,,,,,,,,,,25.8,24.89,21.09,21.33,21.21,26.76,26.88,28.12,,,
