OXTED-STONE-HALL-(THE-CROFT),,,,,,,,,,
Grid ref,TQ392521,Long,-0.00584,Lat,51.2511,Elevation,360,ft,,
Station no,69,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.58,3.62,,
February,,,,,,,4.61,0.93,,
March,,,,,,,4.01,0.44,,
April,,,,,,,3.19,0.54,,
May,,,,,,,2.18,2.78,,
June,,,,,,,2.73,0.65,,
July,,,,,,,0.74,1.93,,
August,,,,,,,1.51,1.88,,
September,,,,,,,2.27,2.62,,
October,,,,,,,2.89,3.59,,
November,,,,,,,1.8,3.71,,
December,,,,,,,4.41,3.55,,
Total,,,,,,,35.92,26.24,,
,,,,,,,,,,
1937 Observations commenced at The Croft 200yds N Regarded as continuation station,,,,,,,,,,
1938 Observer unable to continue,,,,,,,,,,
1938 Dec Partly estimated for snow,,,,,,,,,,
