OXTED-STONE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ394516,Long,-0.00394,Lat,51.24662,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.78,0.78,4.05,1.22,1.44,3.27,4.05,3.18,2.57,3.94,1.72,2.97,2.81,2.84,2.66,3.92,1.38,3.18,2.07,2.46,2.02,2.32,,,,,,
February,,,,0.91,4.31,4.36,4.91,0.96,1.43,2.61,0.62,0.3,2.64,3.94,0.86,4.05,2.82,4.92,1.68,0.61,1.05,2.72,0.73,2.44,0.3,,,,,,
March,,,,2.29,5.47,0.85,4.49,1.9,0.93,3.99,1.48,1.76,2.34,2.35,1.59,0.99,0.56,3.68,2.24,0.03,1.84,0.4,1.68,3.54,2.33,,,,,,
April,,,,2.88,1.33,1.32,1.79,2.57,3.91,3.42,3.14,1.96,3.52,2.86,3.83,2.88,4.2,2.03,2,0.94,1.88,4.44,2.45,0.91,2.48,,,,,,
May,,,,1.39,1.62,3.02,2.69,1.82,2.19,0.11,1.11,1.26,1.22,3.02,3.92,2.73,1.67,1.32,1.99,1.86,2.7,3.18,4.69,2.46,,,,,,,
June,,,,0.45,0.85,0.62,3.17,1.98,0.72,1.05,1.72,0.13,1.77,0.54,2.71,0.25,3.56,4.22,2.68,1.14,0.61,1.46,1.49,1.53,,,,,,,
July,,,1.4,1.79,1.94,3.8,1.1,4.08,4.36,1.98,4.73,0.22,3.5,3.78,4.8,4.16,1.45,2.65,1.83,1.76,3.02,2.98,2.41,2.17,,,,,,,
August,,,5.35,1.83,1.36,2.81,3.62,5.5,1.98,2.51,1.64,1.77,3.15,2.02,3.78,2.44,3.68,5.02,2.85,2.27,3.09,4.88,1.09,0.72,,,,,,,
September,,,2.87,1.42,0.96,2.74,1.51,2.34,4.93,1.37,3.96,1.06,2.52,1.78,3.82,2.82,1.16,5.74,0.72,0.26,4.12,2.02,2.29,3.2,,,,,,,
October,,,3.15,4.19,1.45,2.57,4.54,4.36,1.98,0.94,1.46,1.32,1.32,7.01,3.82,3.65,2.79,1.82,5.23,3.9,1.99,0.73,6.45,2.18,,,,,,,
November,,,2.86,3.54,4.37,3.21,5.01,1.89,2.01,2.32,1.53,1.69,1.91,2,3.55,3.28,6.07,3.22,2.77,7.21,4.73,3.74,1.37,1.09,,,,,,,
December,,,3.06,1.22,8.44,6.72,3.15,2.46,2.75,4.52,2.67,1.84,4.25,3.19,3.99,3.63,0.59,5.15,4,6.74,2.29,0.66,0.64,0.64,,,,,,,
Total,,,,25.69,32.88,36.07,37.2,31.3,30.46,28.87,27.24,15.88,32.08,34.21,39.64,33.69,31.39,42.43,31.91,28.1,30.5,29.28,27.75,22.9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 9am in winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 10am in summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 May Observer died and record terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Observations commenced at The Croft200yds N  Regarded as continuation station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
