WENDLING-ASTRANTIA,,,,,,,,,,,,,,,,,,,,
Grid ref,TF929128,Long,0.85201438,Lat,52.67855,Elevation,170,ft,,,,,,,,,,,,
Station no,1421/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.4,2.77,4.17,2.68,4.83,1.61,2.34,3.31,4.46,2.61,2.49,,,,,
February,,,,,2.13,2.78,3.33,0.92,0.98,1.82,2.46,1.24,1,1.63,2.02,,,,,
March,,,,,0.6,0.57,3.77,0.5,2.94,2.66,3.65,1.87,0.62,0.52,1.77,,,,,
April,,,,,3.5,1.34,2.61,0.59,2.97,1.62,1.2,0.82,1.19,1.72,2.14,,,,,
May,,,,,0.78,0.9,2.39,1.98,0.61,1.11,2.44,2.44,2.12,1.27,2.88,,,,,
June,,,,,2.15,3.84,1.51,1.58,2.11,0.33,0.92,1.24,2.46,1.76,1.95,,,,,
July,,,,,1.33,5.89,2.3,2.3,1.71,2.68,1.98,4.75,1.2,2.57,,,,,,
August,,,,,1.02,1.21,1.67,0.92,4.08,0.99,4.64,1.56,1.75,1.16,,,,,,
September,,,,,3.82,3.05,2.88,2.18,1.95,1.73,0.5,1.52,2.53,3.73,,,,,,
October,,,,,3.19,2.16,1.82,3.58,5.04,2.36,3.38,3.38,1.95,3.61,,,,,,
November,,,,,3.62,3.16,1.93,2.36,5.13,6.02,2.79,3.37,2.25,4.97,,,,,,
December,,,,,1.98,1.75,3.44,3.48,2.58,2.25,1.41,2.33,1.14,1.7,,,,,,
Total,,,,,26.52,29.42,31.82,23.07,34.93,25.18,27.71,27.83,22.67,27.25,,,,,,
