EDENBRIDGE-CLUNY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ442464,Long,0.062498779,Lat,51.198626,Elevation,161,ft,,,,,,,,,,,,
Station no,RR8317,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.64,1.01,2.65,1.3,2.53,3.87,,,,,,
February,,,,,,,,,1.26,0.39,3.94,1.19,1.87,0.85,,,,,,
March,,,,,,,,,2.62,3.4,1.18,2.11,4.42,2.54,,,,,,
April,,,,,,,,,2.82,1.51,1.66,2.25,0.06,2.93,,,,,,
May,,,,,,,,,1.85,1.22,2.32,1.55,0.93,1.59,,,,,,
June,,,,,,,,,1.41,2.46,1.38,1.92,3.5,0.13,,,,,,
July,,,,,,,,,3.05,2.26,2.19,0.32,1.23,1.96,,,,,,
August,,,,,,,,,3.85,2.05,1.74,0.66,6.01,1.69,,,,,,
September,,,,,,,,0.49,1.69,2.83,0.53,1.22,2.99,1.29,,,,,,
October,,,,,,,,3.87,1.81,5.32,2.04,4.11,3.32,4.33,,,,,,
November,,,,,,,,2.09,1.07,1.04,3.68,5.63,2.35,2.85,,,,,,
December,,,,,,,,2.66,2.95,3.63,3.86,6.47,2.79,1.15,,,,,,
Total,,,,,,,,,26.02,27.12,27.17,28.73,32,25.18,,,,,,
