DERWENT-DALE-FEATHERBED-MOSS,,,,,,,,,,,,,,,,,,,,
Grid ref,SK140985,Long,-1.7905007,Lat,53.483036,Elevation,1670,ft.,,,,,,,,,,,,
Station no,RR7668,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.2,1.67,4.13,2.5,3.6,2.04,4.8,4.57,4.04,,,,,
February,,,,,,,3,2.73,3.36,3.5,5.1,6.11,2.62,1.85,3.22,,,,,
March,,,,,,,3.95,3.5,3.56,4.5,1.2,3.12,5.6,5.9,6.29,,,,,
April,,,,,,,1.43,3.3,3.2,3.4,4.7,4,1.23,4.72,2.02,,,,,
May,,,,,,,4.04,4.93,3.84,2.5,4.2,1.29,4.3,3.42,2.4,,,,,
June,,,,,,,2.15,8.1,2.6,5.8,4.2,4.3,4.93,2.58,5.09,,,,,
July,,,,,,,3.4,3.45,5.3,6.7,5.2,0.55,7.2,1.4,3.95,,,,,
August,,,,,,,3.69,4.85,4.28,3.5,6.9,3.62,10,1.71,3.48,,,,,
September,,,,,,,1.65,0.97,4.04,3.8,0.61,3.46,3.7,3.6,3.29,,,,,
October,,,,,,,7.99,9.9,1.8,6.5,4.1,4.5,4.77,6.68,3.84,,,,,
November,,,,,,,6.75,4.13,3.32,2.6,5,6.46,3.5,5.07,6.75,,,,,
December,,,,,,,3.21,4.25,2.98,7.5,7,7.3,6.3,3.17,7.77,,,,,
Total,57.85,47.1,44,63.2,39,43,46.46,51.78,42.41,52.8,51.81,46.75,58.95,44.67,52.14,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Featherbed Moss at the stated altitude.,,,,,,,,,,,,,,,,,,,,
"Gauge is at the East end of Featherbed Moss in Yorkshire West Riding and in the Derewnt River catchment, as noted on the records",,,,,,,,,,,,,,,,,,,,
"NGR could be 1km or more West and possibly the same location as the earleir record, i.e 2.5km W",,,,,,,,,,,,,,,,,,,,
