DERWENT DALE FEATHERBED MOSS NO. 1,,,,,,,,,,,,
Grid ref,SK140985,Long,-1.790501,Lat,53.483036,,,,,,,
Station no,RR7668,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.20,1.67,4.13,2.50,,
February,,,,,,,3.00,2.73,3.36,3.50,,
March,,,,,,,3.95,3.50,3.56,4.50,,
April,,,,,,,1.43,3.30,3.20,3.40,,
May,,,,,,,4.04,4.93,3.84,2.50,,
June,,,,,,,2.15,8.10,2.60,5.80,,
July,,,,,,,3.40,3.45,5.30,6.70,,
August,,,,,,,3.69,4.85,4.28,3.50,,
September,,,,,,,1.65,0.97,4.04,3.80,,
October,,,,,,,7.99,9.90,1.80,6.50,,
November,,,,,,,6.75,4.13,3.32,2.60,,
December,,,,,,,3.21,4.25,2.98,7.50,,
Total,57.85,47.10,44.00,,39.00,43.00,46.46,51.78,42.41,52.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,46.46,51.78,42.41,52.80,,
Difference,57.85,47.10,44.00,NaN,39.00,43.00,0.00,0.00,0.00,0.00,,
