"LOCHINVER (BANK HOUSE)",,,,,,,,,,,,
Grid ref,NC094223,Long,-5.240301,Lat,58.148367,,,,,,,
Station no,5805/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.50,6.05,3.66,3.45,2.80,5.38,6.71,5.86,7.05,4.55,,
February,3.04,4.25,3.81,3.27,3.36,3.22,2.96,3.94,1.59,2.70,,
March,3.16,3.82,2.04,3.44,1.98,0.90,3.89,2.87,2.21,1.66,,
April,5.13,1.79,3.38,1.83,2.27,2.51,2.52,3.06,3.44,3.24,,
May,0.99,3.10,2.50,2.29,2.56,3.49,2.23,4.06,2.40,1.88,,
June,2.41,3.72,1.69,5.56,2.46,3.29,3.93,2.59,5.15,2.83,,
July,3.37,3.70,5.48,5.45,0.82,6.34,3.90,1.45,6.07,,,
August,3.28,4.78,3.52,3.00,1.26,4.48,5.57,3.59,4.05,,,
September,2.04,6.14,4.91,4.49,6.90,2.38,4.58,3.07,2.69,,,
October,4.30,4.24,2.94,8.13,8.33,5.73,7.92,6.79,6.68,,,
November,5.21,6.90,9.75,5.68,2.73,5.42,4.36,2.67,5.37,,,
December,7.35,5.75,5.37,6.78,5.70,5.34,8.46,3.54,5.07,,,
Total,44.78,54.24,49.05,53.37,40.17,48.48,57.03,43.49,51.77,,,
Calc annual,44.78,54.24,49.05,53.37,41.17,48.48,57.03,43.49,51.77,16.86,,
Difference,0.00,0.00,0.00,-0.00,-1.00,-0.00,0.00,0.00,0.00,NaN,,
