PELTON COUNCIL SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ247530,Long,-1.6166426,Lat,54.871166,Elevation,280,ft,,,,,,,,,,,,
Station no,3547/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.08,1.83,1.66,,2.87,2.2,4.67,2.01,4.17,2.46,,0.7,,,,,,
February,,,,0.45,2.61,3.27,3.36,0.92,1.08,2.46,6.43,2,,1.27,1.08,,,,,
March,,,1.12,3.09,0.81,2.11,2.98,0.25,3.18,1.98,2.78,1.52,0.62,0.32,0.38,,,,,
April,,,0.96,4.26,3.62,,2.49,0.11,0.85,1.33,1.51,1.08,,1.41,,,,,,
May,,,2.13,1.42,1.1,1.76,2.81,3.75,1.54,1.08,2.08,1.55,,1.71,,,2.11,,,
June,,,1.66,4.17,3.88,3.92,2.05,2.95,2.38,0.89,1.25,1.51,1.61,1.47,2.06,,2.47,,,
July,,,1.39,2.06,0.63,3.71,2.37,2.41,2.83,7.12,1.31,2.93,,2,1.9,,2.36,,,
August,,,1.02,2.74,1.47,1.94,1.65,1.77,3.25,1.01,4.88,1.73,,1.63,,,0.33,,,
September,,,2.77,1.25,4.64,2.65,1.27,2.94,1.49,1.59,0.39,3.01,,5.53,2.01,,,,,
October,,,3.01,3.39,4.18,1.36,1.68,3.58,5.86,3.41,3.45,2.87,,3.51,5.53,,0.76,,,
November,,,3.45,2.05,4.25,3.03,1.51,2.6,2.87,4.05,3.1,0.9,,3.82,0.91,,2.42,,,
December,,,1.53,1.87,2.29,1.83,5.44,3.59,1.7,2.5,0.15,2,,1.36,1.15,,,,,
Total,,,,28.58,31.14,,30.48,27.07,31.7,29.43,31.5,23.56,,24.73,,,,,,
,,,,,,,,,,,,,,,,,,,,
1933 Feb and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,
"1936 Jan, April adjusted by surrounding station so removed along with total",,,,,,,,,,,,,,,,,,,,
1943 only Mar and June not estimated,,,,,,,,,,,,,,,,,,,,
"1945 Jan, Apr, May, Aug and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
"1947 Jan, Feb, Mar, Apr, Sept, Dec and total estimated and removed",,,,,,,,,,,,,,,,,,,,
