"BANBURY, BODICOTE, DRAYCOTT HOUSE",,,,,,,,,,,,
Grid ref,SP460377,Long,-1.330832,Lat,52.035804,,,,,,,
Station no,RR6465,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.09,,
February,,,,,,,,,,0.79,,
March,,,,,,,,,,2.86,,
April,,,,,,,,,,2.14,,
May,,,,,,,,,,1.85,,
June,,,,,,,,,,4.78,,
July,,,,,,,,,,2.86,,
August,,,,,,,,,,2.46,,
September,,,,,,,,,1.15,2.66,,
October,,,,,,,,,1.00,4.26,,
November,,,,,,,,,0.92,0.79,,
December,,,,,,,,,2.19,3.74,,
Total,,,,,,,,,,30.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,30.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
