HALIFAX OVENDEN MOOR - old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE034313,Long,-1.949887,Lat,53.778022,Elevation,1375,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,5.1,5.4,-999,4.5,3.6,2.1,4,4.7,1.5,4.2,7,2.6,1.6,6.1,6,4.4,4,3.8,1.5,5.9,4.5,3,5.9,1.9,7.5,5.3,0.73,0.32,0.43,4.72,6.41,7.63,1.8,-999,3.31,2.4,2.54,5.7,3.01,4.3,1.33,5.09,6.03,2.46,2.46,4.73,8.56,6.59,3.48,4.22,4.27,4.39,2.45,6.81,2.18,4.36,3.16,6.92,2.17,6.16,4.3,4.23,7.42,4.73,4.06,3.26,5.21,5.03,7.77,4.97,3.7,3.14,,,,,,
February,,,,1.25,1.55,-999,4.1,3,2.1,3.2,3.1,5.3,1,3.7,2.9,3.3,6.9,5,3.5,6.1,2.1,3.7,4.8,0.9,1.4,1.4,5.5,5,2.6,4.35,4.43,5.34,4.39,2.58,3.39,4.44,-999,0.99,2.56,2.55,0.9,0.68,3.13,5.82,8.07,1.05,2.38,4.04,4.65,2.34,6.95,2,2.42,5.68,5.21,2.57,2.95,2.97,3.33,3.56,5.5,6.07,2.67,1.76,3.16,4.61,8.06,1.91,6.08,2.61,3.59,0.43,4.41,6.04,1.47,,,,,,
March,,,,1.25,1.23,2.93,1,3.3,3.3,9,4.7,6.6,5.3,1.3,4,2.1,1.5,2.4,4.2,2.1,2.4,1.1,3.4,2.6,4.5,1.9,4.8,3.1,3,3.6,3.61,5.54,5.07,0.92,2.45,2.58,-999,2.34,4.35,3.25,3.85,2.63,0.88,1.55,4.16,3.84,6.48,5.31,1.56,2.96,1.03,3.24,2.42,6.58,2.99,3.5,3.56,4.22,4.19,4.02,1.03,2.32,4.86,4.59,5.91,1.85,5.33,3.36,2.09,6.42,3.1,3.1,3.14,2.44,1.65,,,,,,
April,,,,2.6,0.41,2,4.3,5.9,3.4,5.7,3.9,1.2,4.2,3,1.3,2.2,1,6.8,2,2.2,1.7,5.2,4,0.6,1.6,1.5,2.8,3.3,2,2.61,2.26,3.42,5.75,3.37,2.12,2.69,3.5,1.47,3.93,3.7,1.74,2.32,1.92,1.22,2.59,3.2,2.73,,4.06,4.01,0.79,3.27,2.38,2.77,3.04,3.06,2.08,3.24,2.94,4.47,4.12,2.46,1.48,4.42,1.95,2.05,3.61,4.06,1.15,2.1,5.1,1.54,3.75,2.67,2.83,,,,,,
May,,,,7.65,2.21,2.5,4.7,2.9,4.6,0.5,5,0.1,4.9,3,2.2,3.4,1.2,3.1,1.3,5.5,2,2.2,2.4,2.8,1.5,2,1.1,2.5,4.8,1.74,2.76,3.23,1.73,1.3,2.01,3.79,5.45,2.22,1.37,2.64,4.19,3.71,4.47,2.61,2.73,1.07,0.7,2.18,3.74,3.46,2.08,1.47,3.72,4.11,3.47,0.95,3.87,3.61,3.02,3.29,2.87,1.6,3.99,3.77,1.87,2.31,3.05,2.34,4.28,2.36,5.62,2.04,1.2,4.22,5.75,,,,,,
June,,,,,3.28,4.2,4.8,3.9,3.8,2.3,7.2,2,4.4,4.5,4,1.1,5.8,2.5,0.1,1.1,1.8,3.5,6.6,1.6,1.8,4.1,3.2,1.3,3.7,6.96,4.68,1.8,6.7,3.97,1.28,3.95,2.36,0.31,2.87,0.86,4.43,2.08,4.57,2.97,4.3,2.71,5.02,4.57,3.75,2.34,3.34,1.4,2.01,1.68,1.22,2.85,1.52,6.51,2.5,2.96,2.8,4.42,7.38,2.11,3.03,0.65,2.58,2.23,1.96,1.38,2.74,0.23,2.28,0.87,2.63,,,,,,
July,,,,,3.56,6.3,3.4,5,3.2,4.4,2.9,6.5,3.6,1.5,1.4,0.6,4.4,4.7,0.2,0.3,1,5.3,4.3,3.7,2.7,6.4,3.5,4.3,,7.02,6.43,5.35,5.99,3.68,5.25,1.84,6.08,2.39,6.52,4.34,2.11,3.74,3.33,3.7,4.21,7.57,2.66,1.91,1.57,2.37,2.7,2.37,4,5.13,2.28,2.53,3.37,3.09,4.54,5.9,4.91,0.72,6.7,1.44,3.8,5.47,2.62,1.86,4.71,2.93,7.62,2.46,4.85,4.04,4.6,,,,,,
August,,,,,1.58,3.4,8,8.7,3.1,7.4,6,4.1,3.2,5.4,1.3,5.5,5.7,2,4.1,1.7,1.5,1.7,5.9,4.4,5,3.2,3.6,4.4,,5.71,2.27,5.43,3.07,2.82,1.75,1.85,2.04,2.2,4.27,5.93,6.98,8.05,4.8,3.43,4.85,4.39,2.64,4.45,5.95,1.8,6.21,2.94,4.39,5.15,5.38,6.09,5.09,3.87,3.45,3.72,5.61,2.7,7.39,1.51,2.76,6.4,3.13,6.22,2.64,3.5,1.87,6.04,4.48,4.63,4.64,,,,,,
September,,,3.88,,2.94,1,6.9,4,6.9,6.6,2.6,5.1,3.1,5.9,5.1,1.1,8.3,3.5,5,7.5,2,4.8,7,2.7,4.1,4.9,5.4,4,5.42,2.07,4.89,3.38,2.6,8.53,2.8,6.55,3.6,5.88,1.66,2.87,2.88,4.02,3.98,4.39,0.84,2.19,8.11,4.9,1.09,8.17,1.53,1.54,2.56,6.4,1.24,2.85,1.21,1.07,3.42,3.96,0.46,3.92,1.79,2.33,2.89,0.68,2.74,1.91,11.26,2.07,1.97,1.78,4.14,4.47,4.46,,,,,,
October,,,5.79,4.58,2.63,9.2,4.1,4,5.6,2.7,5.8,0.9,8.5,8.5,4.7,7.6,2.9,3.8,5,2.7,10.8,3.9,5.6,6.9,5.7,6.3,2.9,5.6,,4.22,5.91,4.65,5.59,6.33,3.18,8.75,6.75,3.12,1.7,6.06,3.41,5.26,9.27,5.02,7.12,5,6.18,2.16,6.82,4.14,4.96,2.99,5.41,12.54,2,4.47,6.67,6.39,2.88,4.9,4.36,4.76,5.31,3.05,2.93,1.92,8.49,7.8,3.18,3.04,2.56,2.89,0.96,4.52,4.48,,,,,,
