BOWNESS (THE CRAIG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD408973,Long,-2.9126743,Lat,54.367758,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,4.88,10.39,,13.29,12.64,,,,,,,,,,,,,,,,,
February,,,,,,,,,13.4,3.15,9.36,5.78,10.13,,,,,,,,,,,,,,,,,
March,,,,,,,,,5.5,1.25,,4.85,0.42,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.85,,,2.85,1.11,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.15,,,1.8,4,,,,,,,,,,,,,7.27,,,,
June,,,,,,,,3.85,5.89,,,5.11,7.49,,,,,,,,,,,,,0.58,,,,
July,,,,,,,,1.8,5.62,,,6.09,3.45,,,,,,,,,,,,,2.92,,,,
August,,,,,,,,3.89,5.87,,,5.21,6.51,,,,,,,,,,,,,7.92,,,,
September,,,,,,,,4.79,3.26,,,2.47,2.69,,,,,,,,,,,,,2.42,,,,
October,,,,,,,,9.71,7.8,,,6.99,4.93,,,,,,,,,,,,,6.73,,,,
November,,,,,,,,10.73,6.66,,,2.31,9.91,,,,,,,,,,,,,4.71,,,,
December,,,,,,,,8.65,10.48,,,3.49,16.32,,,,,,,,,,,,,4.5,,,,
Total,,,,,,,,56.82,72.36,61.56,64.28,60.24,79.6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Totals seem to be real totals for the year even where monthly records are limited, so have left them in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
