DALKEITH PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT333678,Long,-3.068238,Lat,55.89868,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.2,2.2,1.11,1.33,0.82,0.78,1.16,2.76,2.1,2.89,,2.5,4,0.96,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.7,1.9,1.4,0.62,0.6,0.65,1,1.7,1.5,1.2,1.1,0.75,1.21,1.11,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,6.3,0.5,0.7,0.78,1.6,0.45,1.39,1.55,2.9,1.6,0.75,0.7,0.4,2,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.4,0.3,0.51,0.32,0.1,1.32,1.2,2,0.2,0.44,1.6,0.65,1.58,0.85,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.55,2.3,1.37,1.56,0.56,2.47,1.15,2.15,2.28,0.46,0.5,1.8,0.87,1.6,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.45,2.7,5.42,3.71,2.26,2.85,1.3,0.15,2,2.45,3.26,2.1,2.62,2.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.7,1.2,2.17,0.96,3,2.11,1.52,4.5,3.12,1.3,3.1,1.68,0.7,1.65,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.72,4.2,2.72,1.91,3.6,2.15,0.37,2.15,0.45,2.67,2.3,3.33,4.32,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.2,2.5,1.7,0.56,0.2,4.7,4.6,1.45,1.15,0.98,4.35,2.6,3.13,2.82,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.02,2.9,2.92,1.62,1.6,1.4,1.4,,3.25,2.18,1.5,3.6,1.85,7.36,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,1.11,2.2,0.72,3.11,0.62,1.1,2.56,,1.66,5.52,5.5,0.8,1.28,2.12,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,0.5,2.3,1.35,1.58,1.11,3.4,2.58,,2.89,2.15,0.55,2.3,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,21.85,25.2,22.09,18.06,16.07,23.38,20.23,,23.5,23.84,,22.81,23.46,25.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865 Gauge removed from Greenhouse to a proper place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
