"DALKEITH GARDENS",,,,,,,,,,,,
Grid ref,NT333678,Long,-3.068238,Lat,55.898680,,,,,,,
Station no,RR288,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.50,1.70,,,2.30,,2.98,0.84,2.98,2.54,,
February,2.96,0.60,,,2.50,,0.79,1.19,1.16,1.64,,
March,0.20,1.00,,,0.70,,2.18,1.61,2.46,4.92,,
April,0.50,0.70,,,0.75,,0.95,1.12,1.62,1.87,,
May,0.30,1.10,2.00,,2.30,,4.40,2.36,1.75,1.64,,
June,2.20,0.40,1.40,,1.50,,1.42,2.27,0.79,1.43,,
July,2.00,0.10,1.10,,0.45,,1.18,1.69,2.83,3.25,,
August,3.30,2.70,2.10,,4.30,,5.17,2.55,1.10,1.18,,
September,1.30,0.10,0.50,,0.90,,0.14,1.51,1.98,2.20,,
October,2.90,2.10,,,0.50,,6.34,6.97,1.12,3.90,,
November,3.95,2.70,,,0.64,,3.96,1.62,0.95,1.21,,
December,3.88,2.70,,,1.50,,1.98,3.16,0.39,3.35,,
Total,25.99,15.90,,,18.34,,31.49,26.89,19.13,29.13,,
Calc annual,25.99,15.90,7.10,0.00,18.34,0.00,31.49,26.89,19.13,29.13,,
Difference,0.00,0.00,NaN,NaN,-0.00,NaN,-0.00,0.00,0.00,0.00,,
