DALKEITH PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT333678,Long,-3.068238,Lat,55.89868,Elevation,144,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,0.84,2.98,2.54,2.29,0.86,1.85,2.08,1.85,1.44,2.83,2.34,2.13,2.48,2.93,,,,,,,,,,
February,,,,,,,,1.19,1.16,1.64,2.52,1.94,1.71,1.02,1.69,2.14,3.71,0.54,2.36,1.4,2.52,,,,,,,,,,
March,,,,,,,,1.61,2.46,4.92,1,1.19,1.51,3.04,2.48,1.18,3.4,1.01,0.9,1.97,1.94,,,,,,,,,,
April,,,,,,,,1.12,1.62,1.87,3.02,1.04,0.16,1.68,1.05,0.94,2.55,2.04,0.67,3,1.55,,,,,,,,,,
May,,,,,,,,2.36,1.75,1.64,1.45,0.87,1.51,1.75,2.11,1.07,3.67,1.34,2.47,0.82,2.44,,,,,,,,,,
June,,,,,,,,2.27,0.79,1.43,0.85,2.7,4.86,1.17,1.59,1.47,3.01,1.93,0.5,1.75,0.89,,,,,,,,,,
July,,,,,,,,1.69,2.83,3.25,2.93,0.86,1.68,0.62,2.24,3.54,5.08,1.58,3.5,0.72,3.16,,,,,,,,,,
August,,,,,,,,2.55,1.1,1.18,3.99,0.88,4.87,1.56,1.91,3.69,4.71,5.26,1.37,1.59,5.74,,,,,,,,,,
September,,,,,,,,1.51,1.98,2.2,0.59,1.08,2.95,2.35,0.67,2.13,1.56,1,4.37,2.36,1.25,,,,,,,,,,
October,,,,,,,,6.97,1.12,3.9,2.76,2.94,2.62,1.36,1.28,1.59,3.98,2.32,2.94,2.67,0.92,,,,,,,,,,
November,,,,,,,,1.62,0.95,1.21,2.46,4.37,1.51,1.66,2.83,1.08,3.54,1.46,1.7,4.8,2,,,,,,,,,,
December,,,,,,,,3.16,0.39,3.35,1.25,2.44,3.22,1.77,3.56,3.74,2.7,2.01,1.62,3.27,2.41,,,,,,,,,,
Total,,,,,,,,26.89,19.13,29.13,25.11,21.17,28.45,20.06,23.26,24.01,40.74,22.83,24.53,26.83,27.75,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Gauge and moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
