BEAULY (CULMILL),,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 51263 40657,Long,-4.479095,Lat,57.431826,Elevation,190,ft,,,,,,,,,,,,,
Station no,5714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,0.87,5.15,4.67,5.56,3.52,3.95,2.16,1.46,,,,
February,,,,,,,,,,0.33,0.86,4.27,0.77,2.58,0.73,5.29,2.35,,,,
March,,,,,,,,,,0.28,1.91,1.12,2.23,0.69,2.78,1.98,1.6,,,,
April,,,,,,,,,,1.7,1.09,2.83,4.48,2.51,4.12,2.77,1.32,,,,
May,,,,,,,,,,2.14,1.55,2.9,3.47,1.95,2.06,1.16,1.16,,,,
June,,,,,,,,,,1.76,2.03,3.81,0.37,2.98,1.81,3.87,0.82,,,,
July,,,,,,,,,,2.47,3.78,4.4,4.31,2.61,4.37,1.55,4.2,,,,
August,,,,,,,,,,4.95,6.13,2.38,2.14,1.68,2.9,3.63,2.13,,,,
September,,,,,,,,,,2.23,3.64,1.43,3.64,1,2.46,4.56,2.87,,,,
October,,,,,,,,,,5.51,5.22,2.21,6.39,4.1,4.89,9.06,,,,,
November,,,,,,,,,,3.44,5.67,2.82,5.22,2.02,1.31,3.7,,,,,
December,,,,,,,,,,5.56,2.71,2.95,3.37,0.42,3.75,1.94,,,,,
Total,,,,,,,,,,31.24,39.74,35.79,41.95,26.06,35.13,41.67,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5714,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
