SETTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD819637,Long,-2.2771,Lat,54.069,Elevation,498,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.94,3,3.97,7.57,4.21,3.31,5.04,3.24,2.88,4.78,1.86,2.78,7.71,2.69,5.49,7.05,4.78,5.16,0.63,2.81,3.01,2.09,4.23,6.96,2.1,3.36,6.9,3.17,3.03,7.92,4.67,4.37,5.03,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,5.23,1.85,3.26,2.81,2.63,1.68,1.21,3.52,1.64,1.59,2.4,8.57,2.19,5.58,4.24,3.98,1.34,2.42,0.86,4.62,2.32,0.26,2.81,1.98,5.4,0.84,2.71,3.12,3.28,5.51,4.08,4.45,7.72,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.04,3.38,4.37,0.35,3.39,4.43,1.39,4.52,5.05,3.16,1.87,7.2,0.72,0.64,2.69,0.43,2.54,1.34,2.74,0.11,3.64,1.49,6.62,3.7,5.12,5.38,1.75,2.98,1.66,2.03,1.74,4.21,1.85,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.31,1.45,0.96,0.37,1.22,0,6.68,1.15,5.54,4.53,2.8,7.12,1.76,3.05,1.28,0.31,1.09,0.26,0.98,2.93,2.16,2.7,2.53,1.22,0.47,2.83,2.61,1.54,1.8,1.02,4.98,3.1,2.62,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.74,4,0,3.05,4.09,3.68,4.73,0,2.05,1.29,4.56,1.87,1.54,2.13,0.43,1.39,0.24,2.7,0.79,4.19,1.68,1.81,0,3.37,0.39,3.89,2.3,1.57,3.71,0.66,3.24,1.56,3.44,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,3.09,4.97,4.8,2.64,4.32,4.42,1.63,2.32,3.24,3.95,3.22,5.34,0.77,3.15,4.44,3.92,4.47,3.19,4.19,2.27,3.98,3.11,2.18,4.3,2.2,3.6,4.05,2.84,0.79,3.85,1.49,0.2,0,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.74,5.9,6.58,5.64,3.96,4.96,4.75,3.76,4.07,3,1.43,4.6,4.51,3.78,5.56,3.27,3.73,2.31,2.97,2.38,2.84,1.59,2.06,1.16,4.02,3.52,1.03,1.3,2.82,5.6,3.05,0.35,0.97,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.84,0,3.4,6.28,5.03,3.26,2.82,2.88,4.58,3.49,1.52,4.1,3.62,3.54,4.5,3.84,2.57,2.42,2.56,5.46,1.28,2.92,4.22,5.33,4.05,2.98,3.43,2.16,5.84,4.31,0.94,4.74,2.05,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.31,7.52,7.05,6.15,5.18,2.91,0.52,2.32,4.23,1.3,3.59,2.94,3.54,1.57,1.46,2.42,4.05,2.48,0.7,3.56,2.91,3.54,5.06,1.95,5.48,1.95,5.59,3.99,0.77,8.25,2.98,2.82,6.92,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,5.48,5.67,2.38,1.56,8.72,3.52,10.38,1.97,4.76,6.47,5.57,4.97,2.58,3.24,4.14,5.28,3.54,2.95,6.58,2.42,1.18,5.04,3,4.98,2.06,8.43,5.39,2.86,6.34,2.79,3.25,4.37,0.52,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
