"BOLTON MOSS BANK",,,,,,,,,,,,
Grid ref,SD691111,Long,-2.468346,Lat,53.595555,,,,,,,
Station no,RR4077,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.93,3.49,,,,,,,,,,
February,4.34,2.60,,,,,,,,,,
March,1.04,4.10,,,,,,,,,,
April,3.08,3.50,,,,,,,,,,
May,2.04,1.39,,,,,,,,,,
June,3.35,2.91,,,,,,,,,,
July,2.13,1.80,,,,,,,,,,
August,7.23,3.68,,,,,,,,,,
September,2.46,1.61,,,,,,,,,,
October,7.17,4.48,,,,,,,,,,
November,4.92,5.77,,,,,,,,,,
December,6.46,5.79,,,,,,,,,,
Total,51.15,41.12,-999.00,,,,,,,,,
Calc annual,51.15,41.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,-999.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
