MASHAM MOOR SOMERSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE143773,Long,-1.782343,Lat,54.191269,Elevation,960,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,7,2.68,2.06,1.5,5.9,2.08,2.14,2.03,2.8,7.6,4.81,2.04,1.73,5.87,5.5,1.44,5.94,,,
February,,,,,,,,,,,1.17,0.17,2.46,5.42,8.71,1.1,0.75,3.62,3.52,3.05,5.69,1.71,1.67,6.16,4.14,2.78,2.64,,,
March,,,,,,,,,,,2.97,2.02,1.39,1.49,3.69,3.65,4.85,8.5,1.26,1.84,0.89,3.63,1.24,8.01,2.96,3.31,2.78,,,
April,,,,,,,,,,,1.29,3.76,2.05,0.59,3.18,3.05,1.5,2.55,3.5,2.97,2.43,3.14,1.56,2.61,2.67,3.33,0.72,,,
May,,,,,,,,,,0.89,2.15,2.87,3.31,2.54,2.51,0.43,0.81,0.96,2.79,4.33,2.43,1.72,3.25,6.67,4.07,0.72,4.76,,,
June,,,,,,,,,,0.14,3.09,1.45,4.41,2.59,3.5,2.13,4.47,2.64,2.94,1.68,3.23,1.9,1.96,2.87,2.03,2.01,1.58,,,
July,,,,,,,,,,2.7,2.38,3.84,2.85,2.74,3.82,6.43,2.5,1.17,0.72,3.28,1.96,4.5,2.73,3.43,2.18,0.71,1.02,,,
August,,,,,,,,,,4.12,4.75,5.91,4.23,3.27,2.67,2.51,2.25,4.67,4.44,1.69,6.32,2.24,3.04,4.26,4.12,4.55,2.87,,,
September,,,,,,,,,,1.03,1.85,3.52,2.48,1.71,0.66,1.21,8.12,2.87,1.07,5.69,0.81,1.77,2.24,5.66,1.21,2.96,0.67,,,
October,,,,,,,,,,5.62,1.27,4.19,9.65,2.73,6.31,3.97,4.67,1.98,7.46,4.2,6.75,1.65,4.98,11.2,1.25,2.25,8.27,,,
November,,,,,,,,,,1.04,4.15,4.57,2.01,2.46,2.58,5.94,1.63,3.11,3.03,4.01,4.59,5.2,3.05,2.26,2.31,7.7,4.77,,,
December,,,,,,,,,,1.49,0.96,6.54,1.14,4.35,3.75,3.37,5.09,6.95,6.19,2.77,4.78,4.22,5.1,3.64,2.02,1.46,2.61,,,
Total,,,,,,,,,,,33.03,41.52,38.04,31.39,47.28,35.87,38.78,41.05,39.72,43.11,44.69,33.72,32.55,62.64,34.46,33.22,38.63,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 all crossed out on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
