"ROUNDHILL RESERVOIR NO 2",,,,,,,,,,,,
Grid ref,SE150776,Long,-1.771600,Lat,54.193946,,,,,,,
Station no,3410,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.01,3.64,0.76,3.33,3.09,3.95,4.71,,,,,
February,4.53,0.56,2.70,3.32,2.27,2.05,3.05,,,,,
March,4.87,2.52,0.69,2.61,2.23,1.88,2.29,,,,,
April,2.76,1.42,3.12,0.78,1.00,2.53,0.41,,,,,
May,7.96,1.76,3.12,4.95,3.52,1.01,1.66,,,,,
June,1.20,1.21,3.53,2.80,2.77,3.48,1.69,,,,,
July,1.57,1.25,3.63,2.73,1.12,6.22,3.58,,,,,
August,6.57,3.93,3.84,6.66,1.32,8.28,6.53,,,,,
September,2.19,5.30,3.04,4.06,2.02,4.18,4.24,,,,,
October,1.96,4.61,2.18,7.48,2.16,2.61,4.33,,,,,
November,10.25,2.49,3.38,7.56,2.77,0.89,2.33,,,,,
December,6.92,3.01,1.85,4.06,5.51,4.74,4.33,,,,,
Total,54.79,31.70,31.84,50.34,29.78,41.82,39.15,,,,,
Calc annual,54.79,31.70,31.84,50.34,29.78,41.82,39.15,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
