"MASHAM MOOR SOMERSIDE",,,,,,,,,,,,
Grid ref,SE143773,Long,-1.782343,Lat,54.191269,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.80,1.59,5.46,5.15,1.30,5.36,2.07,2.77,1.82,,
February,,1.47,1.53,5.82,3.91,2.50,2.30,1.96,2.61,1.33,,
March,,3.39,1.15,7.41,2.65,2.97,2.42,3.10,5.19,4.48,,
April,,2.95,1.46,2.41,2.70,2.94,0.53,1.88,2.21,3.03,,
May,,1.61,2.98,6.22,3.76,0.65,4.35,4.74,2.68,1.97,,
June,,1.74,1.82,2.71,1.81,1.83,1.42,4.63,2.49,3.61,,
July,,4.39,2.56,3.19,2.00,0.58,0.89,2.20,3.20,3.26,,
August,,2.14,2.81,3.97,3.77,4.17,2.51,1.94,2.87,3.66,,
September,,1.63,2.05,5.17,1.06,2.64,0.56,0.59,3.48,2.47,,
October,,1.51,4.56,10.25,1.07,1.98,8.49,7.83,2.06,3.98,,
November,,5.12,2.78,1.99,2.10,7.10,5.39,2.69,2.41,1.29,,
December,,3.96,4.72,3.25,1.74,1.21,2.13,4.41,1.76,4.76,,
Total,,31.71,30.01,57.85,31.72,29.87,36.35,38.04,33.73,35.66,,
Calc annual,0.00,31.71,30.01,57.85,31.72,29.87,36.35,38.04,33.73,35.66,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
