"GIRVAN TURNBERRY (LIGHTHOUSE)",,,,,,,,,,,,
Grid ref,NS196072,Long,-4.845088,Lat,55.325677,,,,,,,
Station no,5263,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.30,2.50,4.90,3.85,3.70,1.90,2.90,0.95,,4.11,,
February,2.80,1.30,0.70,4.45,1.80,1.82,1.45,1.02,,2.80,,
March,0.50,1.80,3.90,7.50,2.00,1.80,2.20,1.23,,2.39,,
April,2.30,3.10,1.30,1.40,2.15,1.20,0.65,0.72,,2.19,,
May,2.80,1.60,2.20,4.30,1.55,0.85,2.20,0.86,,1.00,,
June,2.00,2.30,1.40,2.10,1.30,1.15,1.30,1.66,,2.70,,
July,3.40,0.30,2.20,3.43,1.05,1.40,1.20,0.64,0.57,4.62,,
August,4.50,5.20,3.10,3.85,3.75,3.80,1.22,,2.24,2.10,,
September,3.40,2.40,3.20,2.80,2.25,2.60,1.12,,4.30,1.37,,
October,4.90,5.10,2.30,7.65,1.50,2.80,1.54,,0.66,6.02,,
November,4.60,5.00,2.20,3.35,2.07,2.30,0.95,,3.38,1.17,,
December,4.50,3.95,2.76,3.25,1.35,1.90,1.32,,2.94,3.98,,
Total,41.00,34.55,30.16,47.93,24.47,23.52,18.05,,,34.45,,
Calc annual,41.00,34.55,30.16,47.93,24.47,23.52,18.05,7.08,14.09,34.45,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,0.00,,
