"KILBIRNIE (PUNDEAVON RES)",,,,,,,,,,,,
Grid ref,NS294577,Long,-4.721987,Lat,55.782427,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,10.70,4.60,10.53,10.50,,
February,,,,,,,6.20,7.10,10.33,4.80,,
March,,,,,,,8.10,9.70,8.15,2.40,,
April,,,,,,,4.30,3.90,3.42,5.87,,
May,,,,,,,9.10,6.55,4.42,4.13,,
June,,,,,,,2.30,7.90,4.70,3.85,,
July,,,,,,5.05,5.50,5.60,6.80,9.40,,
August,,,,,,6.95,7.90,11.50,6.60,6.34,,
September,,,,,,6.90,5.40,3.10,11.80,4.70,,
October,,,,,,8.50,10.50,9.20,2.36,11.60,,
November,,,,,,9.65,8.20,7.35,8.10,7.58,,
December,,,,,,9.05,10.65,11.20,7.80,9.10,,
Total,,,,,,,88.85,87.70,85.01,80.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,46.10,88.85,87.70,85.01,80.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,,
