MAIDSTONE-ALLINGTON-NURSERY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ735571,Long,0.48665193,Lat,51.28661,Elevation,150,ft,,,,,,,,,,,,
Station no,RR6918,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.48,0.49,0.84,1.86,2.78,0.95,3.24,1.4,1.45,0.94,2.35,1.11,1.74,3.42,0.56,3.34,1.07,1.21,2.82,
February,4.27,1.25,1.2,1.21,3.8,0.97,2.4,0.79,1.5,0.67,3.6,1.39,1.55,0.77,2.94,3.92,4.22,0.39,1.1,
March,0.96,2.78,1.34,2.29,1.69,2.08,1.42,1.77,1.89,3.44,1.85,2.09,3.35,2.39,5.73,1.14,3.23,1.58,0.93,
April,0.71,1.86,0.43,1.93,1,3.41,0.32,2.66,2.9,1.67,2.1,2.22,0.05,3.48,1.16,1.51,1.46,2.35,1.99,
May,0.45,0.89,2.77,2.96,1.16,1.1,1.39,1.69,1.49,1.08,2.66,0.68,1.17,1.05,1.17,3.02,1.84,2.16,1.69,
June,4.13,0.63,3.14,5.67,1.79,2.98,3.8,1.96,1.7,1.93,2.87,2.32,3.54,0.41,1.12,1.2,2.82,2.41,0.94,
July,1.3,2.43,2.73,5.65,2,2.44,0.64,0.72,3.14,2.99,2.34,0.35,1.19,2.03,0.98,3.85,1.9,3.98,3.8,
August,2.01,1.77,4.06,3.07,1,1.05,0.49,2.93,3.73,3,2.14,0.79,4.85,1.28,0.61,2.14,3.53,4.99,1.35,
September,0.74,1.05,1.9,1.89,2.1,2.99,1.76,0.1,0.22,2.84,0.25,1.29,2.48,1.9,0.98,2.64,2.08,1.5,4.29,
October,1.65,1.96,2.64,5.34,0.59,1.39,2.88,4.5,2.08,6.6,1.5,5.2,3.02,4.8,2.42,1.67,2.74,2.71,2.64,
November,2.83,0.8,1.47,2.27,1.32,3.47,5.44,1.78,1.13,0.98,4.6,5.08,1.56,3.72,3.86,3.77,3.64,2.75,2.08,
December,2.75,3.98,2.06,1.41,2.95,0.82,2.1,2.42,2.1,3.41,3.15,5.13,1.98,1.04,6.55,6.47,2.83,2.57,2.11,
Total,25.28,19.89,24.58,35.55,22.18,23.65,25.88,22.72,23.33,29.55,29.41,27.65,26.48,26.29,28.08,34.67,31.36,28.6,25.74,
