BURTON UNDER FELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD530761,Long,-2.7215812,Lat,54.178518,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,7.68,3.91,3.95,4.06,3.01,4.5,4.61,10.19,2.08,6.49,3.61,5.62,3.36,5.32,1.67,3.93,2.55,5.45,3.29,1.99,0.65,5.17,5.12,,,,,,,
February,,0.37,4.85,4.86,0.86,5.01,6.36,3.28,5.24,1.09,0.43,4.04,0.1,4.39,0.27,5.22,1.83,6.44,1.76,3.71,1.83,4,1.81,2.24,,,,,,,
March,,4.83,2.39,1.22,2.72,1.5,1.75,3.66,2.38,1.14,2.96,0.72,3.19,2.63,2.78,1.39,1.74,1.33,1.48,1.6,4.32,2.62,2.81,1.34,,,,,,,
April,,1.3,1.87,2.78,2,3.28,1.66,3.03,1.47,2.1,1.71,2.41,3.26,2.11,3.38,3.16,0.76,3.38,0.78,2.55,2.05,1.12,1.4,2.81,,,,,,,
May,,3.8,3.2,3.41,7.01,4.93,2.86,2.26,0.81,2.2,1.33,2.03,5.32,2.34,4.82,0.86,2.03,2.59,3.88,0.77,1.33,3.12,3.18,4,,,,,,,
June,,0.5,3.48,0.87,3.26,0.68,3.55,3.84,7.44,2.1,2.53,8.33,2.11,2.2,2.53,4.79,3.55,2.92,4.25,3.76,1.66,0.47,1.04,4.06,,,,,,,
July,,1.79,5.92,5.63,4.68,2.39,4.51,4.9,8.31,4.1,4.54,6.29,5.51,3.56,2.81,3.24,5.29,2.89,4.94,5.56,5.94,2.68,4.77,5.87,,,,,,,
August,,8.36,5.48,7.27,3.76,5.17,4.36,6.83,7.21,7.98,5.88,2.99,2.09,2.86,4.74,2.94,3.42,2.23,3.96,1.58,2.01,5.08,4.5,8.3,,,,,,,
September,,2.65,3.89,5.23,6.14,4.25,4.84,7.25,3.96,2.48,2.32,2.58,5.17,0.93,4.42,10.13,5.6,5.04,1.7,1.88,4.59,2.07,5.32,4.1,,,,,,,
October,,3.18,0.92,7.6,4.58,5.15,3.77,4.07,5.45,5.96,7.9,3.9,5.64,4.81,6.26,7.26,4.13,1.77,10.8,0.95,5.82,7.47,5.32,5.73,,,,,,,
November,,2.16,2.39,6.58,3.99,2.07,5.79,5.55,6.98,8.4,4.73,7.3,3.41,1.88,1.22,3.97,4.62,1.54,5.76,5.56,3.83,2.22,0.95,2.63,,,,,,,
December,,6.26,5.56,5.39,6.58,3.36,1.16,1.01,3.82,6.33,3.47,4.08,3.92,0.94,6.94,3.16,5.84,2.69,4.35,2.78,3.92,2.19,5.16,2.16,,,,,,,
Total,,42.88,43.86,54.79,49.64,40.8,45.11,50.29,63.26,45.96,44.29,48.28,45.34,32.01,45.49,47.79,42.74,35.37,49.11,33.99,39.29,33.69,41.43,48.36,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 May mistranscribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 incorrect arithmetic on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
