TAUNTON-HALSE-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,ST140278,Long,-3.22802,Lat,51.04322,Elevation,245,ft,,,,,,,,,,,,
Station no,RR8798,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,4.53,1.83,3.38,0.94,2.91,1.43,,,,,,,
February,,,,,,,,2.05,1.09,4.32,3.94,3.22,1.76,,,,,,,
March,,,,,,,,2.43,1.8,0.87,2.08,2.16,1.85,,,,,,,
April,,,,,,,,3.5,3.08,1.93,2.03,1.11,4.39,,,,,,,
May,,,,,,,,3.51,4.97,2.36,1.28,1.05,2.16,,,,,,,
June,,,,,,,,0.92,1.99,5.81,1.77,3.46,3.44,,,,,,,
July,,,,,,,,2.85,2.29,3.05,4.55,2.33,4.53,,,,,,,
August,,,,,,,,4.05,5.44,6.06,0.38,5.56,3.14,,,,,,,
September,,,,,,,,2.01,2.51,3.15,3.44,2.67,3.6,,,,,,,
October,,,,,,,,2.76,5.06,1.43,6.72,2.26,6.79,,,,,,,
November,,,,,,,,6.13,4.35,0.55,2.96,3.53,4.92,,,,,,,
December,,,,,,,6.97,2.18,2.61,1.58,4.28,3.08,3.8,,,,,,,
Total,,,,,,,,36.92,37.02,34.49,34.37,33.34,41.81,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge previously in use at Halse House,,,,,,,,,,,,,,,,,,,,
1882 Station terminated,,,,,,,,,,,,,,,,,,,,
