WALLASEY-HARRISON-PARK-1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ292933,Long,-3.0670908,Lat,53.43171,Elevation,57,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.59,2.55,3.26,5.9,1.84,4.48,2.93,2.7,1.42,1.68,1.38,4.44,1.93,2.97,4.55,1.95,2.09,,,,,,,,,
February,,,,,,4.86,2.95,1.33,2.57,0.72,0.23,2.41,0.08,2.81,0.12,2.48,2.34,4.76,0.63,2.21,2.17,2.94,,,,,,,,,
March,,,,,,0.92,1.05,2.88,1.52,0.55,3.02,0.29,2.18,1.8,1.36,0.88,1.42,1.24,1.03,1.57,2.28,2.77,,,,,,,,,
April,,,,,,1.59,0.86,1.14,0.98,0.93,3.39,2.42,3.14,1.02,1.66,1.87,0.9,2.71,0.25,1.9,1.49,,,,,,,,,,
May,,,,,,2.91,3.56,0.92,1.55,1.57,0.93,2.39,3.56,1.79,1.87,1.76,0.94,3.27,2.94,1.37,2.21,,,,,,,,,,
June,,,,,,0.04,1.15,3.66,4.65,1.18,1.76,5.05,1.29,2.11,1.71,3.58,4.56,1.57,2.59,2.54,0.81,,,,,,,,,,
July,,,,,,2.48,3.45,3.39,1.31,3.29,4.7,2.18,3.59,1.22,0.9,1.9,2.75,1.51,2.48,5.83,2.91,,,,,,,,,,
August,,,,,,2.97,3.32,6.46,3.22,2.98,5.38,5.35,1.45,1.84,2.89,1.77,1.37,1.34,6.06,1.27,0.62,,,,,,,,,,
September,,,,,,3.71,3.87,4.73,1.16,2.01,2.41,2.99,3.23,1.01,2.39,5.71,3.36,2.67,1.85,0.62,2.32,,,,,,,,,,
October,,,,,,3.41,3.38,2.83,3.44,3.86,4.37,1.87,5.42,3.37,5.39,4.07,1.53,2.19,4.59,2.23,3.86,,,,,,,,,,
November,,,,,,3.21,5.11,4.44,4.24,4.91,4.22,4.71,2.39,1.51,1.86,3.39,3.05,1.55,3.38,4.33,5.7,,,,,,,,,,
December,,,,,,2.37,1.14,1.29,2.31,4.82,4.56,1.41,1.55,0.61,4.47,3.27,3.36,2.57,3.58,2.42,2.1,,,,,,,,,,
Total,,,,,,30.06,32.39,36.33,32.85,28.66,39.45,34,30.58,20.51,26.3,32.06,30.02,27.31,32.35,30.84,28.42,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Harrison Park the name on the 1930s record before being changed to New Brighton. Harrison Park is beside Warren Park and it is not clear whether thae gauge moved between the two in 1929; Altitudes match. Not sure if the name change in the 1930s implies the gauge moved. The observer Dr T W N Barlow lived at 19 North Drive 850 M ENE in the early 1900s, but this location is too high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
