RICHMOND-ORMOND-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ179746,Long,-0.30366,Lat,51.4588,Elevation,51,ft,,,,,,,,,,,,
Station no,RR7752,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.55,1.28,2.1,2.4,1.69,4.17,1.52,0.92,0.95,2.37,1.78,0.5,1.52,3.23,1.68,0.72,2.03,0.9,2.74
February,,2.34,1.46,3.4,1.44,3.07,0.6,0.51,1.07,2.23,0.96,0.03,1.42,2.65,1.67,0.11,0.35,2.37,1.35,2.23
March,,1.93,0.8,0.78,1.2,1.55,1.55,1.81,3.03,1.42,1.61,1.62,1.05,0.23,1.2,1.35,3.13,3.75,1.26,0.59
April,,0.7,2.6,1.56,1.31,1.81,1.43,1.45,2.03,2.43,1.94,1,1.09,0.26,1.61,1.57,0.7,1.66,1.08,2.68
May,,1.1,1.25,1.79,0.71,2.64,4.21,1.82,1.16,2.95,1.43,2.49,1.31,1.27,1.79,0.5,0.19,1.19,2.8,1.52
June,,1.56,1.94,1.31,2,1.8,1.02,1.14,2.56,1.31,3.16,1.59,2.56,0.83,2.17,0.33,1.82,2.55,1.36,1.52
July,,2.01,2.42,2.32,2.3,0.52,2.41,0.97,4.54,2.84,4.41,2.64,2.06,2,4.42,4.54,1.27,1.17,0.74,0.64
August,,4.65,1.15,1,0.97,1.07,0.84,2.76,2.94,2.31,1.91,4.24,3.44,1.72,2.51,3.75,2.03,3.02,1.29,
September,,2.16,2.38,3.54,1.88,4.37,1.83,2.14,1.28,1.55,1.21,1.11,2.88,1.01,1.4,1.46,5.47,2.17,0.46,
October,6.24,2.35,6.13,1.84,1.18,3.88,2.41,1.44,1.25,4.19,1.07,5.9,3.88,3.82,4.23,2.97,2.57,0.6,3.43,
November,1.76,2.45,2.41,2.65,1.52,3.1,2.85,3.3,3.97,0.66,1.6,2.09,2.89,2.02,2.97,3.58,1.14,1.14,2.21,
December,3.32,2.51,2.17,0.76,2.2,1.18,3.55,1.49,1.35,1.34,0.68,2.96,1.22,2.3,2.1,2.11,3.43,2.33,2.52,
Total,,25.31,25.99,23.05,19.11,26.68,26.87,20.35,26.1,24.18,22.35,27.45,24.3,19.63,29.3,23.95,22.82,23.98,19.4,
,,,,,,,,,,,,,,,,,,,,
Ormond Lodge Ormond Road Now the Vicarage,,,,,,,,,,,,,,,,,,,,
1899 Observer gone away,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Annual average rejected from London Survey as 1in high,,,,,,,,,,,,,,,,,,,,
