RICHMOND-HALFORD-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ180747,Long,-0.30293311,Lat,51.458987,Elevation,50,ft,,,,,,,,,,,,
Station no,RR8917,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.97,3.97,1.96,1,3.2,0.79,4.85,1.22,2.64,0.39,,,,,,,,,
February,,1.04,0.94,1.91,1.21,1,1.97,1.75,1.26,4.05,2.29,,,,,,,,,
March,,1.04,2.01,1.63,0.52,0.61,2.65,2.14,1.03,0.79,0.77,,,,,,,,,
April,,2.74,1.32,-999,1.35,1.55,2.05,2.77,3.67,3.09,1.9,,,,,,,,,
May,,0.9,3.7,-999,0.49,1.21,0.97,1.89,3.65,3.94,0.31,,,,,,,,,
June,0.77,3.18,1.89,2.83,2.41,2.84,1.44,1.46,2.57,4.24,2.11,,,,,,,,,
July,1.11,3.31,1.9,1.91,1.16,4.52,1.05,3.17,1.92,3.47,5.08,,,,,,,,,
August,2.32,0.92,1.55,1.89,1.17,0.61,1.73,2.78,6.62,4.82,0.45,,,,,,,,,
September,1.41,4.56,1.36,2.17,3.22,2.05,2.43,0.68,0.99,2.88,4.41,,,,,,,,,
October,3.4,1.03,4.46,3.03,3.5,3.66,1.45,1.99,1.89,0.71,,,,,,,,,,
November,1.16,0.52,3.14,1.96,2.25,2.9,2.58,3.84,2.77,0.69,,,,,,,,,,
December,2.48,1.13,4.15,0.42,1.58,1.1,6.16,1.4,1.19,0.73,,,,,,,,,,
Total,,22.34,30.39,21.43,19.86,25.25,25.27,28.72,28.78,32.05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Halford House, 27 Halford Road. Altitudes match.",,,,,,,,,,,,,,,,,,,,
Gauge moved 100 yards to ORMOND LODGE,,,,,,,,,,,,,,,,,,,,
