HAMBLETON MANOR,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2524,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,1.61,4.35,1.40,3.14,
February,,,,,,,,2.35,1.58,0.76,0.78,
March,,,,,,,,2.22,1.82,0.12,1.56,
April,,,,,,,,1.48,0.90,1.93,2.82,
May,,,,,,,,0.93,3.12,1.53,3.56,
June,,,,,,,,4.80,2.47,1.61,1.72,
July,,,,,,,,2.40,1.55,2.08,3.54,
August,,,,,,,,3.20,2.81,2.20,3.02,
September,,,,,,,,3.70,0.57,1.03,4.80,
October,,,,,,,,1.96,3.80,3.76,1.61,
November,,,,,,,,2.80,2.65,5.40,3.22,
December,,,,,,,,2.20,2.19,5.58,2.23,
Total,,,,,,,,29.65,27.81,27.40,32.00,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.65,27.81,27.40,32.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,
